key;en-GROUP;hu-HU-x-HU text
kids.timeOver.takeABreak;;Itt az ideje egy kis szünetnek
kids.timeOver.wakeup;;Ébresztés
kids.turnOff;;Kikapcsolás
kids.turnOn;;Bekapcsolás
kids.turnedOff;;Kikapcsolva
kids.turnedOn;;Bekapcsolva
kids.update.gdpr.privacy.consent.subtitle;;A személyes ajánlások megjelenítéséhez szükség van a jóváhagyásodra még egyszer
kids.update.gdpr.privacy.consent.subtitle.part2;;Választásod az összes profilra érvényes
kids.update.gdpr.privacy.consent.title;;Frissített adatkezelési hozzájárulás
kids.update.gdpr.privacy.notice.subtitle;;A Vodafone TV további használatához kérjük, olvasd el, majd válaszd a Folytatást
kids.update.gdpr.privacy.notice.title;;Frissített adatkezelési tájékoztató
language.afr;;Afrikai
language.ang;;Angol, régi (kb 450-1100)
language.ara;;Arab
language.auto;;Automatikus
language.ces;;Cseh
language.chi;;Kínai
language.dan;;
language.de-DE;;Deutsch (DE)
language.dut;;Holland
language.ell;;görög
language.en-GB;;English (GB)
language.en-US;;English (US)
language.es-ES;;Español (ES)
language.fas;;Perzsa
language.fin;;Finn
language.grc;;Ελληνικά
language.gsw;;Svájci német
language.heb;;Héber
language.hin;;Hindi
language.hun;;Magyar
language.isl;;Izlandi
language.it-IT;;Olasz (IT)
language.jap;;Japán
language.jpn;;Japán
language.kaz;;Kazah
language.kor;;Kóreai
language.lav;;Litván
language.mao;;Maori
language.mri;;Maori
language.mul;;Eredeti nyelv
language.nld;;Holland
language.nor;;Norvég
language.per;;Perzsa
language.pol;;Lengyel
language.por;;portugál
language.prt;;Português
language.pt-BR;;Português (BR)
language.pt-PT;;Português (PT)
language.qaa;;Eredeti nyelv
language.ron;;Román
language.rus;;Orosz
language.slk;;Szlovák
language.slv;;Szlovén
language.sqi;;Albán
language.ukr;;Ukrán
language.zho;;Kínai
mainMenu.kids;;GYEREKSAROK
mainMenu.mediaLibrary;;Média tár
mainMenu.onTv.title;;Adásban
mainMenu.recordings;;FELVÉTELEK
mainMenu.topBar.search;;Keresés filmre, sorozatra, színészre...
mainMenu.tvGuide.subscribeNow;;Most előfizetek
mainMenu.tvGuide.watch;;Lejátszás
maintenance.description;;
maintenance.title;;
miniProgramInfo.showMore;;További információ
myApps.Shortcut.Add;;Hozzáadás Alkalmazásaimhoz
myApps.Shortcut.Manage;;Kezelés
myApps.add.info;;Válassz ki egy vagy több alkalmazást a hozzáadásra
myApps.add.title;;Hozzáadás az Alkalmazásaimhoz
myApps.delete.info;;Válaszd ki az áthelyezendő alkalmazásokat
myApps.delete.title;;Eltávolítás az Alkalmazásaim közül
myApps.manage.favorite;;Alkalmazásaim - Kedvencek
myApps.manage.info.favorite;;Böngéssz és kezeld kedvenc alkalmazásaidat
myApps.manage.info.favorite.number;;%1 alkalmazás
myApps.manage.info.recent;;Maximum 20 legutóbbi alkalmazás mutatása
myApps.manage.info.recent.number;;Még nem volt alkalmazás használva.
myApps.manage.recent;;Alkalmazásaim - Legutóbbiak
myApps.manage.title;;Alkalmazásaim
myApps.reorder.info.default;;Válaszd ki az áthelyezendő alkalmazást
myApps.reorder.info.reorderMode;;A bal és jobb navigációs gombbal helyezd át az alkalmazást, majd nyomd meg az OK-t a beillesztéshez
myApps.reorder.title;;Alkalmazásaim újra rendezése
mytv.external.myTVRecommendations;;Neked ajánljuk
mytv.kaltura.Adults;;Zárolt programok
mytv.recommendations;;Neked ajánljuk
mytv.recommended;;Neked ajánljuk
mytv.recordings.all.lastMonth;;Múlt hónap
mytv.recordings.all.lastWeek;;Múlt hét
mytv.recordings.all.month;;Aktuális hónap
mytv.recordings.all.older;;Régebbi
mytv.recordings.all.week;;Aktuális hét
mytv.recordings.cloud.future;;Később jár le
mytv.recordings.cloud.month;;Ebben a hónapban lejár
mytv.recordings.cloud.never;;Nincs lejárati dátum
mytv.recordings.cloud.nextMonth;;Következő hónapban lejár
mytv.recordings.cloud.nextWeek;;Következő héten lejár
mytv.recordings.cloud.week;;Ezen a héten lejár
mytv.recordings.cloud.year;;Ebben az évben lejár
mytv.recordings.failed.lastMonth;;Múlt hónap
mytv.recordings.failed.lastWeek;;Múlt hét
mytv.recordings.failed.month;;Aktuális hónap
mytv.recordings.failed.week;;Aktuális hét
mytv.recordings.local.hd;;HD
mytv.recordings.local.lastMonth;;Múlt hónap
mytv.recordings.local.lastWeek;;Múlt hét
mytv.recordings.local.month;;Aktuális hónap
mytv.recordings.local.older;;Régebbi
mytv.recordings.local.other;;Egyéb
mytv.recordings.local.sd;;SD
mytv.recordings.local.uhd;;4K
mytv.recordings.local.week;;Aktuális hét
mytv.recordings.month;;Ebben a hónapban
mytv.recordings.nextWeek;;Következő héten
mytv.recordings.older;;Korábbi felvételek
mytv.recordings.scheduledRecordings.clashes;;Ütköző rögzítések
mytv.recordings.scheduledRecordings.series;;Sorozatfelvételek
mytv.recordings.scheduledRecordings.single;;Sima felvételek
mytv.recordings.soon;;Rövidesen lejár
mytv.recordings.unwatched.lastMonth;;Múlt hónap
mytv.recordings.unwatched.lastWeek;;Múlt hét
mytv.recordings.unwatched.month;;Aktuális hónap
mytv.recordings.unwatched.week;;Aktuális hét
mytv.recordings.week;;Ezen a héten
mytvRecommendations1;;Lejátszás folytatása
mytvRecommendations2;;Neked ajánljuk
nagra.information.authNToken;;AuthNToken
nagra.information.cakVersion;;CAK verzió
nagra.information.chipset.revision;;Chipkészlet verzió
nagra.information.chipset.type;;Chipkészlet típusa
nagra.information.dasSDKVersion;;DAS SDK verzió
nagra.information.irdsn;;IRDSN
nagra.information.lastAuthNTokenDate;;Legutóbbi AuthN token-frissítés
nagra.information.lastConnectionsToOTT;;Utolsó OTT kapcsolatok
nagra.information.lastEntitlement;;Legutóbbi jogosultsági dátum
nagra.information.lastLicenceUpdate;;Legutóbbi licencfrissítés
nagra.information.lastProvision;;Legutóbbi kiépítési dátum
nagra.information.nc.OpVaultTimestamp;;Op Vault Timestamp
nagra.information.nc.deviceUniqueId;;Eszköz egyedi azonosítója
nagra.information.nc.initStatus;;Init státusz
nagra.information.nc.integrationContextCertificateName;;Tanúsítvány neve
nagra.information.nc.integrationContextCertificateOperatorId;;Tanúsítvány kezelőjének azonosítója
nagra.information.nc.integrationContextCertificatePlatform;;Tanúsítványplatform
nagra.information.nc.integrationContextCertificateSecurityLevel;;Tanúsítvány biztonsági szintje
nagra.information.nc.integrationContextCertificateType;;Tanúsítvány típusa
nagra.information.nc.nuid;;NUID
nagra.information.nc.prmaVersion;;PRMA verzió
nagra.information.nc.prmcVersion;;PRMV verzió
nagra.information.nuid;;NUID
nagra.information.projectInfo;;Projekt információ
nagra.popups.connectionLost;;Vodafone Mediabox kapcsolódási probléma
nagra.popups.defaultError;;A csatorna nincs előfizetve
nagra.popups.suspended;;Vodafone Mediabox felfüggesztve
nagra.popups.uninitialized;;A Vodafone Mediabox nem indult el
nagra.popups.unsubscribed;;Nincs előfizetés a csatornára
network.wifi.band.unit;;GHz
network.wifi.quality.good;;Jó hálózat minőség
network.wifi.quality.incompatible;;Rossz hálózat minőség
network.wifi.quality.sufficient;;Elégséges hálózat minőség
networkAccessValidation.defaultErrorMessage;;Érvénytelen hálózati hozzáférés. Csatlakoztasd a Vodafone Mediaboxot a Vodafone internet eléréshez, majd próbáld újra!
notification.HDCPError.description;;HDCP hiba leírás
notification.HDCPError.title;;HDCP hiba
notification.adultProgram.hidden.description;;A lejátszáshoz kérjük, változtasd meg a Gyerekzár beállításokat
notification.adultProgram.hidden.title;;Rejtett program
notification.alexa.alert.description;;"Csak mondd azt, hogy ""Alexa állj"" a kikapcsoláshoz."
notification.alexa.alert.title;;Alexa Figyelmeztető
notification.alexa.alexaNumberOfNotification.title;;1% Alexa értesítésed van
notification.alexa.apps.notAvailable;;
notification.alexa.apps.wrongContext;;
notification.alexa.listenToNotification.description;;"Csak mondd: ""meghallgatom a részleteket"", hogy többet tudj meg."
notification.alexa.pressingVoiceButton.description;;"Nyomd meg a hang gombot és mondd ""értesítések meghallgatása"", hogy többet hallhass."
notification.alexaAction.disabledInsideApps;;A hangvezérlés nem elérhető az alkalmazásokon belül.
notification.app.cts.token.error;;Egy hiba történt. Az Alkalmazás néhány korlátozott funkcióval indulhat.
notification.app.gdpr.disagree;;Kérlek menj a Beállítások > Adatvédelem menüpontra és változtasd meg az Adatvédelmi Nyilatkozatra való hozzájárulásod.
notification.app.notSubscribed;;Nem rendelkezel előfizetéssel erre az alkalmazásra
notification.automaticRecordings.channelDisabled;;A tartalom lejátszásához kérjük, engedélyezd az automatikus Felvétel funkciót erre a csatornára.
notification.backend.error;;A kiszolgáló hibát észlelt. Kérjük, próbáld újra később! [SC402]
notification.bleRemotePairing.failed;;Nem volt lehetséges a távirányító párosítása
notification.bleRemotePairing.info;;A hangvezérléshez nyomd meg a sárga és a 1-as gombot és tartsd lenyomva 5 másodpercig a távirányítóval való párosításhoz.
notification.bleRemotePairing.success;;A távirányító most már párosítva van és kész a hangvezérlésre.
notification.bluetooth.connected;;Bluetooth csatlakoztatva
notification.bluetooth.disconnected;;Bluetooth leválasztva
notification.bluetooth.fail;;Sikertelen párosítás
notification.bluetooth.multiple.remove.subtitle;;%1 eszköz sikeresen eltávolítva
notification.bluetooth.noDevice;;Nem található új eszköz
notification.bluetooth.rcu.connected;;A távirányító most a Bluetoothon keresztül van csatlakoztatva
notification.bluetooth.remove;;Bluetooth eszközök eltávolítása
notification.bluetooth.remove.subtitle;; 1 készülék sikeresen eltávolítva
notification.bluetooth.success;;Sikeresen hozzáadva
notification.bluetooth.unsupportedRcu.description;;A távirányító verziója nem megfelelő.
notification.bluetooth.unsupportedRcu.title;;Nem támogatott távirányító
notification.buy.notPossible;;Nem lehetséges a tartalmat megvásárolni ezen a készüléken.
notification.channel.liveApp;;A %1 alkalmazáshoz való hozzáféréshez kérjük, nyomd meg a FEL vagy LE gombot
notification.channel.liveApp.redButton;;A %1 alkalmazáshoz való hozzáféréshez nyomd meg a PIROS gombot
notification.drmUnavailable.description;;A Nagra még nincs kész
notification.drmUnavailable.title;;A DRM nem elérhető
notification.episode.past;;Az epizód hamarosan elérhető lesz a felvételek között
notification.episode.scheduled;;Rögzítés időzítve
notification.episode.scheduledNew;;
notification.episode.start;;Rögzítés folyamatban
notification.folder.confirm;;OK
notification.frequentlyAskedQuestions.fetch.error;;Nem lehet megjeleníteni a gyakran ismételt kérdéseket
notification.mcast.insufficient.bandwidth;;Nem elegendő sávszélesség
notification.network.fallback;;Az új konfigurációk érvénytelenek. Kérjük, próbáld újra vagy nyomd meg a BACK/VISSZA gombot a beállítások visszavonásához és a korábbi konfiguráció használatához.
notification.network.fallback.Id;;ID %1
notification.network.noMuMimoEnabled;;A gyenge WiFi jel miatt a szolgáltatás minősége romolhat, a probléma megoldásához menj a Beállítások > További beállítások > Hálózat menüpontba és válassz más hálózatot.
notification.network.notEnoughBandwidth;;A gyenge WiFi jel miatt a szolgáltatás minősége romolhat, a probléma megoldásához menj a Beállítások>További beállítások>Hálózat menüpontba és válassz más hálózatot.
notification.offline.error;;Vodafone Mediabox offline üzemmódban
notification.player.blackout.message1;;Tartalom korlátozás miatt nem tudjuk lejátszani ezt a műsort. Kérjük, próbáld újra később!
notification.player.blackout.message2;;Tartalom korlátozás miatt nem tudjuk lejátszani ezt a műsort. Kérjük, próbáld újra később!
notification.player.concurrent;;A műsor lejátszása jelenleg a maximálisan megengedett számú eszközön fut
notification.player.noRights;;Kettőnél több eszközön próbálod megtekinteni a műsort, vagy nincs érvényes előfizetésed [SB003]
notification.ppv.success;;Sikeresen megvásárolva
notification.privacy.fail.description;;Kérjük, próbáld újra később
notification.privacy.fail.title;;Adatkezelés hiba 
notification.programInfo.failure;;A műsorinformáció megjelenítése közben hiba lépett fel [SM010]
notification.programInfo.purchase.disclaimer;;A PIN kód megadása után megtörténik a vásárlás, melyet ezt követően már nem tudsz visszavonni
notification.programInfo.recording.noChannel;;Ez a felvétel nem tartozik egyik csatornához sem
notification.programInfo.rental.days.disclaimer;;A %1 napos kölcsönzés a PIN kód megadása/ a Megerősítés után kezdődik, melyet ezt követően már nem tudsz visszavonni
notification.programInfo.rental.hour.disclaimer;;A %1 órás kölcsönzés a PIN kód megadása/ a Megerősítés után kezdődik, melyet ezt követően már nem tudsz visszavonni
notification.programInfo.rental.hours.disclaimer;;A %1 órás kölcsönzés a PIN kód megadása/ a Megerősítés után kezdődik, melyet ezt követően már nem tudsz visszavonni
notification.programInfo.rental.month.disclaimer;;A %1 hónapos kölcsönzés a PIN kód megadása/ a Megerősítés után kezdődik, melyet ezt követően már nem tudsz visszavonni.
notification.programInfo.rental.months.disclaimer;;A %1 hónapos kölcsönzés a PIN kód megadása/ a Megerősítés után kezdődik, melyet ezt követően már nem tudsz visszavonni.
notification.programInfo.subscribe.disclaimer;;Előfizetésed a PIN kód megadását követően veszi kezdetét
notification.recommendations.disabled;;A Személyes ajánló kikapcsolásra került.
notification.recommendations.enabled;;A Személyes ajánló bekapcsolásra került.
notification.recommendationsOptIn;;Ha ismét szeretnéd kikapcsolni a Személyes ajánlót, a Beállítások > Tartalombeállítások menüpont alatt megteheted.
notification.recommendationsOptOut;;Ha ismét szeretnéd bekapcsolni a Személyes ajánlót, a Beállítások > Tartalombeállítások menüpont alatt megteheted
notification.recording.cancel.failed;;Nem lehet leállítani a rögzítést. Kérjük, próbáld meg később!
notification.recording.clash.multiple;;Több ütköző rögzítést találtunk
notification.recording.clash.multiple.description;;A megoldáshoz nyomd meg a távirányító %1 gombját és válaszd a Műsoraim/Időzített rögzítéseket
notification.recording.clash.resolve;;Ütközés megoldva
notification.recording.clash.resolve.description;;Ütközés megoldva leírás
notification.recording.clash.single;;Ütköző rögzítéseket találtunk
notification.recording.clash.single.description;;A megoldáshoz nyomd meg a távirányító %1 gombját és válaszd a Műsoraim/Időzített rögzítéseket
notification.recording.delete.failed;;Nem lehet törölni a rögzítést. Kérjük, próbáld meg később!
notification.recording.description.deleteRecordings;;Törölve. Sikeresen töröltél %1 felvételt.
notification.recording.fullCloudProtection;;Túl sok levédett felvétel a felhőben
notification.recording.fullLocalProtection;;Túl sok helyi levédett felvétel
notification.recording.fullProtectionTitle;;A felvételt nem lehet levédeni
notification.recording.localNotPossible;;
notification.recording.past;;A tartalom hamarosan elérhető lesz a felvételek között
notification.recording.scheduledNew;;
notification.recording.title.delete;;Felvételek törlése 
notification.recordings.update;;A Vodafone TV frissítése
notification.remoteBooking.hddConnected.title;;A távoli felvétel beállításhoz nyomd meg a zöld gombot, és változtasd meg a Mediaboxod Készenléti állapotát.
notification.remoteDiagnostics.speedTest.ongoing;;A sebességmérés folyamatban, kérjük, várj
notification.remotePairing.timeout;;Sajnáljuk, a párosítás nem sikerült. Próbáld újra a Hang gomb megnyomásával a távirányítón.
notification.rent.notPossible;;Nem lehetséges kikölcsönözni a tartalmat ezen a készüléken.
notification.rollingBuffer.description;;a VISSZA gombbal folytathatja a tekerést
notification.rollingBuffer.title;;Hátralévő idő az élő közvetítésre való visszaállásig: 
notification.search.characterLimit.description;;Elérte a maximális számú karaktert
notification.search.characterLimit.title;;A karakterlimitet elérte
notification.search.fail.description;;Hiba történt az adatok betöltése közben
notification.search.fail.title;;Keresési hiba
notification.seriesInfo.fetchDataFailed;;Nem lehet megjeleníteni az összes elérhető epizódot. Kérjük, ellenőrizd az internetkapcsolatodat! [SM011]
notification.seriesInfo.missingMetadata;;Hiányzó sorozatazonosító. Nem lehet megjeleníteni a műsorinformációt.
notification.seriesRecording.alreadyScheduled;;
notification.seriesRecording.past;;Sorozatrögzítés beállítva
notification.seriesRecording.pastNew;;
notification.soundbox.audio.off;;Audio kimenet kikapcsolva
notification.soundbox.audio.stb;;Audio kimenet a Mediaboxra állítva
notification.soundbox.audio.tv;;Audio kimenet a TV-re állítva
notification.soundbox.connected;;%1 csatlakoztatva
notification.soundbox.description;;Válaszd a Beállítások/Csatlakoztatott eszközök/Hangvezérlés pontot a kezeléshez.
notification.soundbox.disconnected;;leválasztva
notification.subscribe.notPossible;;Nem lehetséges a tartalomra előfizetni ezen a készüléken.
notification.subscription.success;;Sikeres előfizetés
notification.timeout.error;;Időkorlát-túllépés adatelérés közben. Kérjük, ellenőrizd a routeren az internethozzáférést! [SC401]
notification.trickMode.notAllowed;;A tekerési funkciókat a csatorna nem engedélyezi
notification.vodafoneNetworkLost.description;;Vodafone hálózaton kell lenned a Vodafone TV összes funkciójának használatához.
notification.vodafoneNetworkLost.title;;Vodafone hálózati hiba
notification.voiceAction.appNonExistent;;Ez az alkalmazás nem támogatja hang lejátszását
notification.voiceAction.appNotAvailable;;Ez az alkalmazás nem támogatja hang lejátszását
notification.voiceAction.areaNonExistent;;Nem jeleníthető meg, nem létező tartalom
notification.voiceAction.genericError;;Sajnáljuk, hiba történt, kérjük, próbáld meg újra!
notification.voiceAction.keyPressedTooShort;;Sajnáljuk, nem értettük amit mondtál. Kérjük, tartsd hosszabban lenyomva a hang gombot és ismételd meg!
notification.voiceAction.kids.profileNotSelected;;Ki kell választanod egy profilt, mielőtt a hangfelismerést használod
notification.voiceAction.kids.screenNotAllowed;;Be kell lépned a menübe a hangfelismerés használatához
notification.voiceAction.misunderstanding;;Sajnáljuk, nem értettük amit mondtál, kérjük, ismételd meg!
notification.voiceAction.noChannel;;%1  csatorna nem létezik
notification.voiceAction.noChannelError;;Ez a csatorna nem létezik
notification.voiceAction.noChannelNumber;;Ez a csatornaszám nem létezik
notification.voiceAction.noResults;;A keresés nem járt sikerrel, kérjük, ismételd meg, amit mondtál!
notification.voiceAction.notAllowedContent;;Sajnáljuk, ezt a típusú tartalmat nem tekintheted meg
notification.voiceAction.notAllowedInApp;;A parancs nem lehetséges ebben az Alkalmazásban
notification.voiceAction.notPossible;;A kérést nem lehet végrehajtani
notification.voiceAction.notSupportedInKids;;Sajnáljuk, a Vodafone Gyereksarok alatt nem elérhető ez a funció
notification.voiceAction.voiceASRFailure;;A kérést nem lehet végrehajtani, kérjük, próbáld újra
notification.voiceAction.voiceToSearch;;Kérjük, használd a hangvezérlést a kéréshez
notifications.privacy.fail.title;;Sikertelen hozzáférés az adatkezelési tájékoztatóhoz/hozzájáruláshoz
optIn;;Bekapcsolás most
pin.consecutiveDigitsError.popup.text;;Négy egyforma szám egymás után nem engedélyezett (pl 2222) <br>Kérjük, válassz más kombinációt!
pin.consecutiveDigitsError.popup.title;;Ez a kombináció nem engedélyezett<br><br>
pin.lockedPin.notification.description;;Kérjük, próbáld újra: %1
pin.lockedPin.notification.title;;A PIN bevitel zárolva van
pin.lockedPin.popup.text;;A beütött PIN kód helytelen volt háromszor egymás után<br> Újrapróbálhatod ennyi idő múlva: %1
pin.lockedPin.popup.title;;A PIN bevitel zárolva ennyi ideig: %1<br><br>
pinEntry.adultPin;;PIN kód megadása
pinEntry.purchasePinCode;;PIN kód megadása
player.endOfBuffer.description;;Automatikus rögzítés kezdete
player.endOfBuffer.title;;Automatikus rögzítés vége
player.feedback.remaining;;Hátralévő
player.notification.cantRecoverMedia.description;;player.notification.cantRecoverMedia.description
player.notification.cantRecoverMedia.title;;player.notification.cantRecoverMedia.title
popup.gdpr.app.disagree;;Ehhez újra kell indítanod a készüléket
popups.buttons.continueWithoutRebooting;;
popups.buttons.rebootStb;;
popups.cecStandBy.message;;A Vodafone TV mediaboxod most kikapcsol áram megtakarítás céljából.
popups.deepLinkError.button;;Ok
popups.deepLinkError.message;;Sajnáljuk, hiba történt a működés során. Kérjük, próbáld újra később!
popups.deepLinkError.title;;Valami hiba történt
popups.emptyChannelList.description;;
popups.emptyChannelList.title;;
popups.error.folderWithIncorrectApp;;Nem megfelelő alkalmazás a mappában
popups.howToSubscribe;;Az előfizetéshez lépj kapcsolatba az Ügyfélszolgálattal (1270-es telefonszám).
popups.networkValidation.buttons.retry;;Újrapróbál
popups.networkValidation.misc;;Hiba lépett fel (hiba:%1 )
popups.networkValidation.title;;Hiba lépett fel a hálózati hozzáférés validációja során
popups.noInternetConnection.button;;Beállítások megnyitása
popups.noInternetConnection.message;;Kérjük, ellenőrizd, az összes kábelcsatlakozást és az internetkonfigurációt. Ha a probléma továbbra is fennáll, lépj kapcsolatba az Ügyfélszolgálattal!
popups.noInternetConnection.title;;Nem érhető el internetkapcsolat.
popups.notEnoughBandwidth.buttons.retry;;Újrapróbál
popups.notEnoughBandwidth.message;;A probléma megoldása érdekében, kérjük, nyomd meg az újra gombot és ellenőrizd a routert, tedd közelebb a mediaboxhoz vagy távolíts el minden akadályozó elemet a közeléből. Ha a probléma továbbra is fenn áll, hívd az ügyfélszolgálatot (06-1-288-1270).
popups.notEnoughBandwidth.title;;Sajnáljuk, problémát észleltünk a WIFI hozzáférésedben.
popups.powerSaving.buttons.closeThirdAppsAndAdjust;;Változtasd meg az automatikus készenléti időt
popups.speedTest.misc;;Sebességmérés folyamatban. Le akarod állítani a mérést?
popups.subscriptionFiltering.buttons.cancel;;Nem
popups.subscriptionFiltering.buttons.showApp;;%1 megjelenítése
popups.subscriptionFiltering.message;;%1 mutatása a Filmek, sorozatok menüben lévő műsorok valamint a keresési eredmények közt?
popups.subscriptionFiltering.title;;Reméljük, tetszett az alkalmazás
popups.update.failed;;%1 hiba: a szoftverfrissítés nem sikerült
popups.update.success;;Sikeres frissítés
programInfo.actionButtons.confirm;;Megerősítés
programInfo.actionButtons.from;;-tól
programInfo.actionButtons.listen;;Meghallgatás
programInfo.actionButtons.noFolderSubscribe;;Előfizetés
programInfo.actionButtons.own;;Legyen a tiéd
programInfo.actionButtons.ownAsPPVLabel;;Legyen a tiéd %1
programInfo.actionButtons.ownLabel;;Legyen a tiéd 1%
programInfo.actionButtons.rentAsPPVLabel;;Kölcsönöz %1
programInfo.actionButtons.restartLiveOn;;Újrakezdés - élő
programInfo.actionButtons.resume;;Folytatás
programInfo.actionButtons.subscribeLabel;;Előfizetés
programInfo.actionButtons.subscribePrice;;Előfizetés %1
programInfo.actionButtons.subscribeSelfcare;;Előfizetés
programInfo.actionButtons.subscribedLabel;;Előfizettél
programInfo.actionButtons.trailers;;Előzetesek
programInfo.actionButtons.watchBundle;;Összes lejátszása
programInfo.actionButtons.watchBundleIn;;Összes lejátszása: %1
programInfo.actionButtons.watchCatchupOn;;Műsorvisszajátszó:
programInfo.actionButtons.watchLiveOn;;Nézd élőben
programInfo.actionButtons.watchOn;;Lejátszás 
programInfo.actionButtons.watchSubscriptionOn;;Lejátszás: %1
programInfo.actors.label;;Szereplők
programInfo.badging.availableToRent;;Kölcsönözhető 
programInfo.badging.availableToRentAndExpiration;;%1 napos kölcsönzés elérhető a következő naptól: %2
programInfo.bundle.partOf;;%1 része
programInfo.catchupExpiresOn;;Műsorvisszajátszón lejár: %1
programInfo.director.label;;Rendezte
programInfo.newPI.catchupAiredOn;;%1 napon közvetítve
programInfo.newPI.catchupExpiresOn;;Lejár %1 óra és %2 perc múlva
programInfo.newPI.recordedOn;;%1 felvéve
programInfo.newPi.recordingServiceName;;Lejátszás: %1
programInfo.partialRecordingExpiresOn;;Részleges felvétel lejárata: %1
programInfo.purchase.disclaimer;;Nem vonható vissza, kezdődik a 48 órás kölcsönzés. A következő számlán látni fogod a részleteket.
programInfo.recordingExpiresOn;;Felvétel lejárata: %1
programInfo.series.special;;KÜLÖNLEGES
rails.availableToOwn;;Megvásárolható
rails.defaultGenreLabel;;Később meghatározandó
rails.relatedfrom;;Még több %1
rails.relatedto;;Hasonló ehhez: %1
rails.rollingBuffer.title.dayOfTheMonthDateFormat;;éééé hh nn
rails.rollingBuffer.title.today;;Még több %1
rails.rollingBuffer.title.today-1;;Tegnap
rails.rollingBuffer.title.today-2;;2 nappal ezelőtt
rails.rollingBuffer.title.today-3;;3 nappal ezelőtt
rails.rollingBuffer.title.today-4;;4 nappal ezelőtt
rails.rollingBuffer.title.today-5;;5 nappal ezelőtt
rails.rollingBuffer.title.today-6;;6 nappal ezelőtt
rails.rollingBuffer.title.today-7;;7 nappal ezelőtt
rails.subscription;;Előfizetés
rails.title.morefrom;;%1
recordingCancel.cancelSeries;;Sorozat rögzítésének leállítása
recordingCancel.subtitle;;Az egész sorozat rögzítését le akarod állítani?
recordingCancel.title;;Időzített rögzítés leállítva
recordings.update.please.wait;;Kérjük, várj
relatedbyactor;;Még több %1
relatedbydirector;;%1 rendezte
relatedbygenre;;Még több műsor ebből a műfajból
relatedto;;Hasonló ehhez: %1
sdk7.browse.myHome.aboutMyHome;;A főmenüről
sdk7.browse.myHome.breadcrumbTitle;;Főmenü
sdk7.browse.myHome.button.browseOnDemand;;Filmek, sorozatok böngészése
sdk7.browse.myHome.button.openTvGuide;;Műsorújság megnyitása
sdk7.browse.myHome.contentInfo;;Felvett sorozatokat, kikölcsönözhető filmeket és műsorokat vagy elmentett kedvenceket találhatsz ebben a részben. Böngéssz a Filmtárban vagy a Műsorújságban hogy felvehesd vagy kikölcsönözhesd amit csak szeretnél!
sdk7.countrySelection.text;;Ez a választás az alkalmazás nyelvének beállításához szükséges.
sdk7.countrySelection.title;;Kérlek válaszd ki az országod
sdk7.epg.focusedTile.remaining;;
sdk7.lockedPin.modal.subtitle;;
sdk7.lockedPin.modal.title;;
sdk7.menu.tab.onTv;;Médiatár
sdk7.miniProgramInfo.remaining;;Hátralévő
sdk7.miniProgramInfo.showMore;;Több információ
sdk7.moreBucket.all;;Összes
sdk7.pinEntry.helpLabel;;A PIN kód nem megfelelő.
sdk7.pinEntry.success;;
sdk7.pinEntry.success.subtitle;;
sdk7.pinEntry.unSuccessful;;
sdk7.pinEntry.unSuccessful.subtitle;;
sdk7.pinEntry.verifying;;
sdk7.programInfo.actionButtons.wishlist.add;;Kívánságlista
sdk7.programInfo.actionButtons.wishlist.remove;;Eltávolítás a kívánságlistáról
sdk7.programInfo.showInfo;;
sdk7.search.noResults;;
sdk7.search.searchResults;;
sdk7.serieInfo.episodePrefix;;%1 epizód
sdk7.serieInfo.episodeShortPrefix;;
sdk7.serieInfo.seasonShortPrefix;;
sdk7.settings;;Beállítások
sdk7.settings.changePin.confirm;;
sdk7.settings.changePin.confirmNewPin;;
sdk7.settings.changePin.enterNewPin;;
sdk7.settings.changePin.hideNewPin;;
sdk7.settings.changePin.masterPin;;
sdk7.settings.changePin.pinChanged.failed;;
sdk7.settings.changePin.pinChanged.successfully;;
sdk7.settings.changePin.pinChanged.tryAgain;;
sdk7.settings.changePin.secondaryString;;
sdk7.settings.changePin.showNewPin;;
sdk7.settings.changePin.title;;
sdk7.settings.hiddenChannels;;
sdk7.settings.parentalControls.adultContent;;Felnőtt tartalom
sdk7.settings.parentalControls.ageRating.pinModal.event;;
sdk7.settings.parentalControls.ageRating.screen.description;;
sdk7.settings.parentalControls.ageRating.screen.secondary.description;;
sdk7.settings.parentalPurchases.locked;;
sdk7.settings.parentalPurchases.locked.desc;;
sdk7.settings.parentalPurchases.purchasePinState;;
sdk7.settings.parentalPurchases.unlocked;;
sdk7.settings.parentalPurchases.unlocked.desc;;
sdk7.settings.pinProtection.desc;;
sdk7.settings.pinProtection.isActivated;;
sdk7.settings.pinProtection.isDeactivated;;
sdk7.settings.pinProtection.pinConfirmationModal.message.activatePin;;
sdk7.settings.pinProtection.pinConfirmationModal.message.deactivatePin;;
sdk7.settings.pinProtection.pinConfirmationModal.title.activatePin;;
sdk7.settings.pinProtection.pinConfirmationModal.title.deactivatePin;;
sdk7.settings.pinProtection.pinProtection;;
sdk7.settings.premiumChannels.hidden;;
sdk7.settings.premiumChannels.intro;;
sdk7.settings.premiumChannels.visible;;
sdk7.settings.privacy.and.terms;;Adatvédelem és Felhasználási Feltételek
sdk7.settings.privacy.consent.disagree.text;;A személyes ajánlások megjelenítéséhez szükség van a jóváhagyásodra még egyszer
