key;en-GROUP;sq-AL-x-AL text
kids.profileSelection.unconfirmed;;E pakonfirmuar
kids.profiles;;Profilet
kids.programInfo.audioDescription;;Përshkrimi audio
kids.programInfo.language;;Gjuha
kids.programInfo.subtitles;;Titrat
kids.settings;;Cilësimet Prindërore
kids.settings.bedtime;;Koha e gjumit
kids.settings.bedtime.from;;Nga
kids.settings.bedtime.setBedtime;;Vendosni kohën e gjumit
kids.settings.bedtime.setTime;;Vendosni Kohën
kids.settings.bedtime.to;;Deri në
kids.settings.changeAge;;Ndrysho moshën
kids.settings.changeAvatar;;Ndrysho Avatarin
kids.settings.changeName;;Ndrysho emrin
kids.settings.content.preferredLanguage;;Gjuha e preferuar
kids.settings.contentSettings;;Cilësimet e përmbajtjes
kids.settings.delete;;Fshi
kids.settings.deleteProfile;;Fshi profilin
kids.settings.editProfile;;Modifikoni Profilin
kids.settings.help;;Ndihmë
kids.settings.pinRequest;;Kërkesë për PIN
kids.settings.privacy;;Privatësia
kids.settings.showVideos;;Trego videon e prezantimit
kids.settings.subtitle.askForPin;;Kërko për PIN
kids.settings.subtitle.deleteProfile.part1;;A je i sigurt që
kids.settings.subtitle.deleteProfile.part2;;fshi Profilin e %1?
kids.settings.timeManagement;;Manaxhimi i kohës
kids.tick.dontShowAgain;;Mos e shfaq përsëri
kids.timeOver.addMoreTime;;Shto më shumë kohë
kids.timeOver.exit;;Dil nga TV e Fëmijëve
kids.timeOver.takeABreak;;Koha për të bërë një pushim
kids.timeOver.wakeup;;Zgjohu
kids.turnOff;;Fik
kids.turnOn;;Ndiz
kids.turnedOff;;Fikur
kids.turnedOn;;Ndezur
kids.update.gdpr.privacy.consent.subtitle;;Për të përdorur rekomandimet, duhet të pajtohesh përsëri me këtë pëlqim.
kids.update.gdpr.privacy.consent.subtitle.part2;;Kjo zgjedhje prek të gjitha profilet.
kids.update.gdpr.privacy.consent.title;;Pëlqimi i përditësuar i privatësisë
kids.update.gdpr.privacy.notice.subtitle;;Për të vazhduar përdorimin e Vodafone TV lexo dhe zgjidh Vazhdo
kids.update.gdpr.privacy.notice.title;;Njoftim i përditësuar i privatësisë
language.afr;;Afrikane
language.ang;;English, Old (ca. 450–1100)
language.ara;;Arabisht
language.auto;;Automatike
language.ces;;Czech
language.chi;;Kineze
language.dan;;Gjuha daneze
language.de-DE;;Gjermanisht (DE)
language.dut;;Holandeze
language.ell;;Greek
language.en-GB;;Anglisht (GB)
language.en-US;;Anglisht (US)
language.es-ES;;Spanjisht (ES)
language.fas;;Persisht
language.fin;;Finlandeze
language.grc;;Ελληνικά
language.gsw;;Gjermanisht zvicerane
language.heb;;Hebraisht
language.hin;;Indiane
language.hun;;Hungarian
language.isl;;Islandeze
language.it-IT;;Italiano (IT)
language.jap;;Japonisht
language.jpn;;Japonisht
language.kaz;;Kazake
language.kor;;Koreane
language.lav;;Letonisht
language.mao;;Maori
language.mri;;Maori
language.mul;;Shumëgjuhëshe
language.nld;;Holandeze
language.nor;;Norvegjisht
language.per;;Persisht
language.pol;;Polonisht
language.por;;Portuguese
language.prt;;Português
language.pt-BR;;Portugalisht (BR)
language.pt-PT;;Portugalisht (PT)
language.qaa;;Gjuha origjinale
language.ron;;Rumanisht
language.rus;;Rusisht
language.slk;;Sllovakisht
language.slv;;Sllovene
language.sqi;;Shqip
language.ukr;;Ukrainisht
language.zho;;Kineze
mainMenu.kids;;Fëmijë
mainMenu.mediaLibrary;;Libraria Media
mainMenu.onTv.title;;Në transmetim tani
mainMenu.recordings;;Regjistrimet
mainMenu.topBar.search;;Kërko filma, aktorë, seriale ...
mainMenu.tvGuide.subscribeNow;;Abonohu tani
mainMenu.tvGuide.watch;;Shiko
maintenance.description;;Pajija po përmirëson eksperiencën tënde. Kjo mund të zgjasë disa minuta. Mos e fik ose zgjidh pajisjen deri në përfundim.
maintenance.title;;Po kryhen përditësime
miniProgramInfo.showMore;;Shfaq më shumë informacion
myApps.Shortcut.Add;;Shto te Aplikacionet e Mia
myApps.Shortcut.Manage;;Menaxho
myApps.add.info;;Përzgjidh një ose më shumë aplikacione që do të shtosh
myApps.add.title;;Shto tek Aplikacionet e mia
myApps.delete.info;;Zgjidh aplikacionet që do të heqësh
myApps.delete.title;;Hiq nga Aplikacionet e Mia
myApps.manage.favorite;;Aplikacionet e Mia - Të preferuarat
myApps.manage.info.favorite;;shfleto dhe menaxho aplikacionet e tua të preferuara
myApps.manage.info.favorite.number;;%1 Aplikacione
myApps.manage.info.recent;;shfaq deri në 20 aplikacione të përdorura kohët e fundit
myApps.manage.info.recent.number;;Asnjë aplikacion nuk është përdorur deri më tani.
myApps.manage.recent;;Aplikacionet e Mia - Të fundit
myApps.manage.title;;Aplikacionet e mia
myApps.reorder.info.default;;Zgjidh aplikacionin që dëshiron të lëvizësh
myApps.reorder.info.reorderMode;;Duke përdorur butonin majtas ose djathtas thjesht zhvendos aplikacionin aty ku do, shtypni OK për ta ruajtur
myApps.reorder.title;;Ndrysho renditjen e Aplikacioneve të mia
mytv.external.myTVRecommendations;;Rekomandime për ty
mytv.kaltura.Adults;;Programet e kyçura
mytv.recommendations;;Rekomandime për ty
mytv.recommended;;Rekomandime
mytv.recordings.all.lastMonth;;Muajin e kaluar
mytv.recordings.all.lastWeek;;Javën e kaluar
mytv.recordings.all.month;;Këtë muaj
mytv.recordings.all.older;;Më të vjetra
mytv.recordings.all.week;;Këtë javë
mytv.recordings.cloud.future;;Skadon më vonë
mytv.recordings.cloud.month;;Skadon këtë muaj
mytv.recordings.cloud.never;;Nuk ka datë skadence
mytv.recordings.cloud.nextMonth;;Skadon muajin tjetër
mytv.recordings.cloud.nextWeek;;Skadon javën tjetër
mytv.recordings.cloud.week;;Skadon këtë javë
mytv.recordings.cloud.year;;Skadon këtë vit
mytv.recordings.failed.lastMonth;;Muajin e kaluar
mytv.recordings.failed.lastWeek;;Javën e kaluar
mytv.recordings.failed.month;;Këtë muaj
mytv.recordings.failed.week;;Këtë javë
mytv.recordings.local.hd;;HD
mytv.recordings.local.lastMonth;;Muajin e kaluar
mytv.recordings.local.lastWeek;;Javën e kaluar
mytv.recordings.local.month;;Këtë muaj
mytv.recordings.local.older;;Më të vjetra
mytv.recordings.local.other;;Të tjera
mytv.recordings.local.sd;;SD
mytv.recordings.local.uhd;;4K
mytv.recordings.local.week;;Këtë javë
mytv.recordings.month;;Këtë muaj
mytv.recordings.nextWeek;;Javën tjetër
mytv.recordings.older;;Regjistrime të tjera
mytv.recordings.scheduledRecordings.clashes;;Regjistrimet përplasen
mytv.recordings.scheduledRecordings.series;;Regjistrime të serialeve
mytv.recordings.scheduledRecordings.single;;Regjistrime të vetme
mytv.recordings.soon;;Skadon së shpejti
mytv.recordings.unwatched.lastMonth;;Muajin e kaluar
mytv.recordings.unwatched.lastWeek;;Javën e kaluar
mytv.recordings.unwatched.month;;Këtë muaj
mytv.recordings.unwatched.week;;Këtë javë
mytv.recordings.week;;Këtë javë
mytvRecommendations1;;Vazhdo shikimin
mytvRecommendations2;;Rekomandime për ju
nagra.information.authNToken;;AuthNToken
nagra.information.cakVersion;;Versioni CAK
nagra.information.chipset.revision;;Rishikimi i Chipset
nagra.information.chipset.type;;Lloji i Chipset
nagra.information.dasSDKVersion;;DAS SDK Version
nagra.information.irdsn;;IRDSN
nagra.information.lastAuthNTokenDate;;Rifreskimi i fundit i shenjës së AuthN
nagra.information.lastConnectionsToOTT;;Lidhjet e fundit me OTT
nagra.information.lastEntitlement;;Data e fundit e së drejtës
nagra.information.lastLicenceUpdate;;Rifresko Licencat e Fundit
nagra.information.lastProvision;;Data e fundit e ofrimit
nagra.information.nc.OpVaultTimestamp;;Vula kohore Op Vault
nagra.information.nc.deviceUniqueId;;ID unike e pajisjes
nagra.information.nc.initStatus;;Statusi i fillimit
nagra.information.nc.integrationContextCertificateName;;Emri i Certifikatës
nagra.information.nc.integrationContextCertificateOperatorId;;ID e Operatorit të Certifikatës
nagra.information.nc.integrationContextCertificatePlatform;;Platforma e Certifikatave
nagra.information.nc.integrationContextCertificateSecurityLevel;;Niveli i Sigurisë së Çertifikatës
nagra.information.nc.integrationContextCertificateType;;Tipi i Certifikatës
nagra.information.nc.nuid;;NUID
nagra.information.nc.prmaVersion;;Versioni PRMA
nagra.information.nc.prmcVersion;;Versioni PRMC
nagra.information.nuid;;NUID
nagra.information.projectInfo;;Informacioni i Projektit
nagra.popups.connectionLost;;Problemi i lidhjes së pajisjes
nagra.popups.defaultError;;Kanali nuk është i abonuar
nagra.popups.suspended;;Pajisja u pezullua
nagra.popups.uninitialized;;Pajisja nuk është konfiguruar
nagra.popups.unsubscribed;;Kanali nuk është i abonuar
network.wifi.band.unit;;GHz
network.wifi.quality.good;;Lidhja më e mirë
network.wifi.quality.incompatible;;Lidhje e dobët
network.wifi.quality.sufficient;;Lidhje e mjaftueshme
networkAccessValidation.defaultErrorMessage;;Akses i pavlefshëm në rrjet. Të lutem lidh pajisjen në rrjet dhe provo përsëri.
notification.HDCPError.description;;Përshkrimi i gabimit HDCP
notification.HDCPError.title;;Gabim HDCP
notification.adultProgram.hidden.description;;Ndrysho cilësimet prindërore për të parë
notification.adultProgram.hidden.title;;Programi është i fshehur
notification.alexa.alert.description;;Thuaj vetëm 'Alexa stop' ose shtyp butonin EXIT për ta fikur.
notification.alexa.alert.title;;Alexa Alarm
notification.alexa.alexaNumberOfNotification.title;;Ke një njoftim në Alexa 
notification.alexa.apps.notAvailable;;Kontrollet media nuk janë të disponueshme ende brenda aplikacioneve
notification.alexa.apps.wrongContext;;Kontrollet media nuk janë akoma të disponueshme në brendësi të aplikacioneve
notification.alexa.listenToNotification.description;;"Thjesht thuaj ""dëgjo njoftimet"" për të dëgjuar më shumë"
notification.alexa.pressingVoiceButton.description;;"Shtyp butonin e zërit dhe thuaj ""dëgjo njoftimet"" për të dëgjuar më shumë"
notification.alexaAction.disabledInsideApps;;Kontrolli zanor nuk është i disponueshëm kur ndodhesh brenda Aplikacioneve.
notification.app.cts.token.error;;Ka ndodhur një gabim. Aplikacioni mund të hapet me disa kufizime.
notification.app.gdpr.disagree;;"Të lutem, shko te ""Cilësimet"" dhe ndrysho preferencën e ""Pëlqimit të privatësisë""."
notification.app.notSubscribed;;Nuk je i abonuar në këtë aplikacion
notification.automaticRecordings.channelDisabled;;Aktivizo Regjistrimet Automatike që ky kanal të jetë në gjendje të shikojë këtë përmbajtje.
notification.backend.error;;SC402: Serveri gjeti një gabim. Provo përsëri më vonë.
notification.bleRemotePairing.failed;;Nuk ishte e mundur të lidhej telekomanda.
notification.bleRemotePairing.info;;Për të përdorur Kontrollin Zanor, të lutem shtyp butonin e verdhë dhe 1 dhe mbaje shtypur për 5 sekonda për të lidhur telekomandën tënde.
notification.bleRemotePairing.success;;Telekomanda tani është lidhur dhe gati për t'u përdorur me zë.
notification.bluetooth.connected;;Bluetooth i lidhur
notification.bluetooth.disconnected;;Bluetooth u shkëput
notification.bluetooth.fail;;Lidhja dështoi
notification.bluetooth.multiple.remove.subtitle;;%1 pajisja u hoq me sukses
notification.bluetooth.noDevice;;Asnjë pajisje e re nuk u gjet
notification.bluetooth.rcu.connected;;Telekomanda tani është e lidhur përmes Bluetooth
notification.bluetooth.remove;;Hiq pajisjet bluetooth
notification.bluetooth.remove.subtitle;; 1 pajisje u hoq me sukses
notification.bluetooth.success;;U shtua me sukses
notification.bluetooth.unsupportedRcu.description;;Versioni i telekomandës nuk është i saktë.
notification.bluetooth.unsupportedRcu.title;;Telekomandë e pasuportuar
notification.buy.notPossible;;Nuk mund të blesh këtë përmbajtje në këtë pajisje.
notification.channel.liveApp;;Shtyp LART ose POSHTË për të hyrë në aplikacion %1.
notification.channel.liveApp.redButton;;Shtyp RED për të nisur aplikacionin %1.
notification.drmUnavailable.description;;Nagra nuk është ende gati
notification.drmUnavailable.title;;DRM i padisponueshëm
notification.episode.past;;Episodi i disponueshëm në regjistrimet e tua së shpejti
notification.episode.scheduled;;Regjistrim i planifikuar
notification.episode.scheduledNew;;Seria %1 ishte planifikuar
notification.episode.start;;Regjistrimi në vazhdim
notification.folder.confirm;;OK
notification.frequentlyAskedQuestions.fetch.error;;Nuk mund të shfaqen pyetjet e bëra më shpesh
notification.mcast.insufficient.bandwidth;;Kapaciteti i internetit i pamjaftueshëm
notification.network.fallback;;Konfigurimet e reja nuk janë të vlefshme. Të lutem provo përsëri ose shtyp BACK për të mbajtur konfigurimet e mëparshme.
notification.network.fallback.Id;;ID %1
notification.network.noMuMimoEnabled;;për shkak të shpetësisë dobët WiFi, cilësia e shërbimit mund të degradojë, për të zgjidhur këtë problem, shko te Cilësimet > Më shumë cilësime > Rrjeti dhe zgjidh një rrjet të ri
notification.network.notEnoughBandwidth;;për shkak të lidhjes të dobët Wi-Fi cilësia e shërbimit mund të degradojë, për të zgjidhur këtë problem shko tek Cilësimet > Më shumë Cilësime > Rrjeti dhe përzgjidh një rrjet të ri
notification.offline.error;;Pajisja nuk është e lidhur me internetin
notification.player.blackout.message1;;Ky program nuk mund të shfaqet për shkak të kufizimit të të drejtave. Provo më vonë
notification.player.blackout.message2;;Ky program nuk mund të shfaqet për shkak të kufizimit të të drejtave. Provo më vonë
notification.player.concurrent;;Eventi tashmë po shfaqet në numrin maksimal të pajisjeve.
notification.player.noRights;;SB003: Po sheh në më shumë se 2 pajisje ose nuk je i abonuar.
notification.ppv.success;;Blerja u bë me sukses
notification.privacy.fail.description;;Provo përsëri më vonë
notification.privacy.fail.title;;Gabim i privatësisë 
notification.programInfo.failure;;SM010: Ka ndodhur një gabim që pengon shfaqjen e informacionit të programit.
notification.programInfo.purchase.disclaimer;;Blerja fillon pas vendosjes së PIN-it, pas së cilës nuk do të jetë e mundur të anullohet.
notification.programInfo.recording.noChannel;;Ky regjistrim nuk i përket asnjë kanali.
notification.programInfo.rental.days.disclaimer;;Qiraja %1 ditore fillon pas vendosjes së kodit PIN, pas së cilës nuk do të jetë e mundur të anullohet
notification.programInfo.rental.hour.disclaimer;;Qiraja %1 ore fillon pas vendosjes së kodit PIN, pas së cilës nuk do të jetë e mundur të anullohet
notification.programInfo.rental.hours.disclaimer;;Qiraja %1 ore fillon pas vendosjes së kodit PIN, pas së cilës nuk do të jetë e mundur të anullohet
notification.programInfo.rental.month.disclaimer;;Qiraja %1 mujore fillon pas vendosjes së kodit PIN, pas së cilës nuk do të jetë e mundur të anullohet
notification.programInfo.rental.months.disclaimer;;Qiraja %1 mujore fillon pas vendosjes së kodit PIN, pas së cilës nuk do të jetë e mundur të anullohet
notification.programInfo.subscribe.disclaimer;;Abonimi fillon pas vendosjes së kodit PIN
notification.recommendations.disabled;;Rekomandimet janë çaktivizuar për ty.
notification.recommendations.enabled;;Rekomandimet janë aktivizuar për ty.
notification.recommendationsOptIn;;Nëse do ta fikësh përsëri shko te Cilësimet > Cilësimet e Përmbajtjes
notification.recommendationsOptOut;;Nëse do ta ndezësh përsëri shko te Cilësimet > Cilësimet e Përmbajtjes
notification.recording.cancel.failed;;Regjistrimi nuk mund të anullohet. Provo më vonë.
notification.recording.clash.multiple;;Ka përplasje të shumta gjatë regjistrimit
notification.recording.clash.multiple.description;;Për ta rregulluar shtyp %1 te telekomanda për të shkuar tek My TV/Regjistrime të planifikuara
notification.recording.clash.resolve;;Përplasja u zgjidh
notification.recording.clash.resolve.description;;Përshkrimi i zgjidhjes së përplasjes
notification.recording.clash.single;;Përplasja e regjistrimit u zbulua
notification.recording.clash.single.description;;Për ta rregulluar shtyp %1 te telekomanda për të shkuar tek My TV / Regjistrime të planifikuara
notification.recording.delete.failed;;Regjistrimi nuk mund të fshihet. Provo më vonë.
notification.recording.description.deleteRecordings;;U fshi. %1 regjistrime u fshinë me sukses
notification.recording.fullCloudProtection;;Më tepër regjistrime të mbrojtura në cloud sesa lejohet.
notification.recording.fullLocalProtection;;Shumë regjistrime të mbrojtura lokale
notification.recording.fullProtectionTitle;;Regjistrimi nuk mund të mbrohet
notification.recording.localNotPossible;;Për të programuar regjistrim, duhet të lidhësh hard diskun tënd lokal
notification.recording.past;;Përmbajtja në disponueshme në regjistrimet e tua së shpejti
notification.recording.scheduledNew;;Regjistrimi %1 ishte planifikuar
notification.recording.title.delete;;Fshi Regjistrimet 
notification.recordings.update;;Vodafone TV po përditësohet
notification.remoteBooking.hddConnected.title;;Për të rezervuar regjistrime në distancë, shtyp butonin Jeshil dhe ndrysho modalitetin e Standby së pajisjes tënde.
notification.remoteDiagnostics.speedTest.ongoing;;Testi i shpejtësisë është në vazhdim, të lutem prit.
notification.remotePairing.timeout;;Na vjen keq që lidhja dështoi. Provo përsëri duke shtypur butonin zanor në telekomandën tënde.
notification.rent.notPossible;;Nuk mund të marrësh me qira këtë përmbajtje në këtë pajisje.
notification.rollingBuffer.description;;ose shtyp BACK për të vazhduar në rolling buffer
notification.rollingBuffer.title;;Duke u kthyer te live 
notification.search.characterLimit.description;;U arrit limiti i shkronjave
notification.search.characterLimit.title;;limiti u arrit
notification.search.fail.description;;Ndodhi një gabim gjatë ngarkimit të përmbajtjes
notification.search.fail.title;;Gabim kërkimi
notification.seriesInfo.fetchDataFailed;;SM011: Nuk mund të shfaqen të gjitha episodet. Kontrollo lidhjen e internetit.
notification.seriesInfo.missingMetadata;;ID e serisë mungon. Nuk mund të shfaqet informacioni i programit.
notification.seriesRecording.alreadyScheduled;;Kjo përmbajtje është tashmë e planifikuar. Për më shumë opsione, zgjidh këtë përmbajtje duke përdorur OK
notification.seriesRecording.past;;Të gjitha episodet e mëparshme të disponueshme në Regjistrimet e tua së shpejti
notification.seriesRecording.pastNew;;"Episodet e mëparshme do të shfaqen së shpejti te ""Regjistrimet e mia""."
notification.soundbox.audio.off;;Dalja audio është vendosur në OFF
notification.soundbox.audio.stb;;Dalja audio është vendosur në pajisje
notification.soundbox.audio.tv;;Dalja audio është vendosur në TV
notification.soundbox.connected;;%1 e lidhur
notification.soundbox.description;;Shko tek Cilësimet / Pajisjet e Lidhura / Asistentët Zanorë për të kontrolluar.
notification.soundbox.disconnected;;Soundbox u shkëput
notification.subscribe.notPossible;;Nuk mund të abonohesh për këtë përmbajtje në këtë pajisje.
notification.subscription.success;;Abonimi u bë me sukses
notification.timeout.error;;SC401: Afati i marrjes së të dhënave përfundoi. Kontrollo routerin për probleme me lidhjen internet.
notification.trickMode.notAllowed;;Trick Mode nuk lejohet
notification.vodafoneNetworkLost.description;;Duhet të jesh në rrjetin tënd Vodafone për të përdorur të gjithë funksionalitetet e Vodafone GigaTV
notification.vodafoneNetworkLost.title;;Rrjeti Vodafone u shkëput
notification.voiceAction.appNonExistent;;Zëri nuk suportohet në këtë aplikacion
notification.voiceAction.appNotAvailable;;Aplikacioni nuk është i disponueshëm
notification.voiceAction.areaNonExistent;;Ne nuk mund ta shfaqim këtë pasi nuk ekziston
notification.voiceAction.genericError;;Diçka nuk shkoi mirë, provo përsëri
notification.voiceAction.keyPressedTooShort;;Nuk kuptohet, shtyp butonin e zërit më gjatë dhe fol
notification.voiceAction.kids.profileNotSelected;;Duhet të zgjedhësh një profil para se të përdorësh Zërin
notification.voiceAction.kids.screenNotAllowed;;Duhet të shkosh në menu për të përdorur Zërin
notification.voiceAction.misunderstanding;;Nuk kuptohet, përsërite të lutem
notification.voiceAction.noChannel;;Kanali %1 nuk ekziston
notification.voiceAction.noChannelError;;Ai kanal nuk ekziston
notification.voiceAction.noChannelNumber;;Ky numër kanali nuk ekziston
notification.voiceAction.noResults;;Nuk gjetëm asgjë, përsërite të lutem
notification.voiceAction.notAllowedContent;;Nuk lejohet të shikosh përmbajtje të këtij lloji
notification.voiceAction.notAllowedInApp;;Veprimi nuk është i mundur me këtë aplikacion
notification.voiceAction.notPossible;;Nuk është e mundur të realizohet kjo kërkesë
notification.voiceAction.notSupportedInKids;;Na falni, nuk mund ta bësh këtë duke përdorur Vodafone Kids.
notification.voiceAction.voiceASRFailure;;Nuk ishte e mundur të përpunohej kërkesa. Provo përsëri.
notification.voiceAction.voiceToSearch;;Përdor Zërin për të kërkuar
notifications.privacy.fail.title;;Nuk u arrit të aksesohet njoftimi/pëlqimi i privatësisë
optIn;;Ndiz tani
pin.consecutiveDigitsError.popup.text;;Katër numra të njëjtë me radhë nuk lejohen (p.sh. 2222) <br> Të lutem zgjidh një kombinim tjetër.
pin.consecutiveDigitsError.popup.title;;Ky kombinim nuk lejohet <br> <br>
pin.lockedPin.notification.description;;Provo përsëri në %1
pin.lockedPin.notification.title;;Vendosja e kodit PIN është e bllokuar
pin.lockedPin.popup.text;;Kodi PIN që ke vendosur është i pasaktë tri herë rresht <br> Mund të provosh përsëri në %1
pin.lockedPin.popup.title;;Vendosja e PIN është e kyçur për %1 në vijim <br> <br>
pinEntry.adultPin;;Vendos PIN
pinEntry.purchasePinCode;;Vendos PIN
player.endOfBuffer.description;;Ke arritur në fillimin e Regjistrimit Automatik
player.endOfBuffer.title;;Regjistrimi automatik u tejkalua
player.feedback.remaining;;Të mbetura
player.notification.cantRecoverMedia.description;;Njoftimi se nuk mund të rikuperohet përshkrimi i medias
player.notification.cantRecoverMedia.title;;Njoftim se nuk mund të rikuperohet titulli i medias
popup.gdpr.app.disagree;;Për të përfunduar këtë veprim, duhet të rindezësh pajisjen
popups.buttons.continueWithoutRebooting;;Vazhdo pa kanale
popups.buttons.rebootStb;;Rikthe në gjendje fillestare
popups.cecStandBy.message;;Pajisja jote Vodafone tani po fiket. Nëse televizori nuk fiket vetë, të lutem kontrollo nëse pajisjet e tjera HDMI janë akoma të ndezura ose fik televizorin
popups.deepLinkError.button;;Ok
popups.deepLinkError.message;;Na vjen keq, pati një problem gjatë kryerjes së këtij operacioni. Të lutem provo përsëri më vonë.
popups.deepLinkError.title;;Diçka shkoi keq
popups.emptyChannelList.description;;"Të lutem shtyp OK te njoftimi ""Rinis STB në mënyrë që të rindezësh pajisjen"" dhe të zgjidhësh problemin. <br> Nëse dëshiron të vazhdosh pa kanale, shtyp OK te njoftimi ""Vazhdo pa kanale"". Për të zgjidhur problemin më vonë, fik pajisjen dhe ndize përsëri nga burimi i energjisë."
popups.emptyChannelList.title;;Nuk mund të rikuperonim listën e plotë të kanaleve
popups.error.folderWithIncorrectApp;;Gabim: Folderi përmban një aplikacion të gabuar
popups.howToSubscribe;;Kontakto shërbimin e klientit për t'u abonuar
popups.networkValidation.buttons.retry;;provo përsëri
popups.networkValidation.misc;;Ndodhi një gabim (gabim: %1).
popups.networkValidation.title;;Vërtetimi i aksesit në rrjet dështoi
popups.noInternetConnection.button;;Hap Cilësimet
popups.noInternetConnection.message;;Kontrollo që të gjitha kabllot janë të lidhura siç duhet dhe nëse konfigurimet e internetit janë të sakta. Nëse problemi vazhdon, kontakto shërbimin e klientit.
popups.noInternetConnection.title;;Nuk ka lidhje interneti
popups.notEnoughBandwidth.buttons.retry;;Provo sërish
popups.notEnoughBandwidth.message;;Për të zgjidhur këtë problem, të lutem shtyp përsëri dhe kontrollo ruterin, duke e afruar atë me pajisjen ose duke eleminuar çdo element bllokues rreth tij. Nëse problemi vazhdon kontakto shërbimin e klientit (140).
popups.notEnoughBandwidth.title;;Na vjen keq që pati një problem me kapacitetin e WiFi
popups.powerSaving.buttons.closeThirdAppsAndAdjust;;Mbyll dhe ndrysho Standby automatik
popups.speedTest.misc;;Testi i shpejtësisë është në vazhdim. A do të ndalosh testin?
popups.subscriptionFiltering.buttons.cancel;;Jo
popups.subscriptionFiltering.buttons.showApp;;Shfaq %1
popups.subscriptionFiltering.message;;Shfaq %1 përmbajtje në zonën On Demand dhe rezultatet e kërkimit?
popups.subscriptionFiltering.title;;Shpresojmë që të ka pëlqyer ky aplikacion.
popups.update.failed;;Gabim %1: Përditësimi i Softuerit dështoi
popups.update.success;;Përditësimi u bë me sukses
programInfo.actionButtons.confirm;;Konfirmo
programInfo.actionButtons.from;;nga
programInfo.actionButtons.listen;;Dëgjo
programInfo.actionButtons.noFolderSubscribe;;Abonohu
programInfo.actionButtons.own;;Zotëro
programInfo.actionButtons.ownAsPPVLabel;;Zotëro %1
programInfo.actionButtons.ownLabel;;Zotëro %1
programInfo.actionButtons.rentAsPPVLabel;;Qira %1
programInfo.actionButtons.restartLiveOn;;Rifillo Drejtpërdrejt në
programInfo.actionButtons.resume;;Rifillo
programInfo.actionButtons.subscribeLabel;;Abonohu në
programInfo.actionButtons.subscribePrice;;Abonohu %1
programInfo.actionButtons.subscribeSelfcare;;Abonohu
programInfo.actionButtons.subscribedLabel;;Abonuar në
programInfo.actionButtons.trailers;;Trailera
programInfo.actionButtons.watchBundle;;Shiko të gjitha
programInfo.actionButtons.watchBundleIn;;Shiko të gjitha në %1
programInfo.actionButtons.watchCatchupOn;;Shiko Catch Up në
programInfo.actionButtons.watchLiveOn;;Shiko drejtpërdrejt në
programInfo.actionButtons.watchOn;;Shiko në 
programInfo.actionButtons.watchSubscriptionOn;;Shiko %1 nga
programInfo.actors.label;;Aktorët
programInfo.badging.availableToRent;;Në dispozicion për qira 
programInfo.badging.availableToRentAndExpiration;;%1 ditë me qira në dispozicion nga %2
programInfo.bundle.partOf;;Pjesë e %1
programInfo.catchupExpiresOn;;Catch Up skadon në %1
programInfo.director.label;;Regjizori
programInfo.newPI.catchupAiredOn;;Transmetuar %1
programInfo.newPI.catchupExpiresOn;;Skadon për %1orë dhe %2min
programInfo.newPI.recordedOn;;Regjistruar % 1
programInfo.newPi.recordingServiceName;;në % 1
programInfo.partialRecordingExpiresOn;;Regjistrimi i pjesshëm skadon në %1
programInfo.purchase.disclaimer;;Pas vendosjes së PIN, fillon qiraja për filmin me afat 48 orë. Pas vendosjes se PIN, nuk mund ta anullosh blerjen.
programInfo.recordingExpiresOn;;Regjistrimi skadon në %1
programInfo.series.special;;SPECIALE
rails.availableToOwn;;Në dispozicion për t'u zotëruar
rails.defaultGenreLabel;;Për t'u Përcaktuar
rails.relatedfrom;;Më shumë nga %1
rails.relatedto;;Ngjashme me %1
rails.rollingBuffer.title.dayOfTheMonthDateFormat;;ddd dd mmm
rails.rollingBuffer.title.today;;Më shumë nga %1
rails.rollingBuffer.title.today-1;;Dje
rails.rollingBuffer.title.today-2;;2 ditë më parë
rails.rollingBuffer.title.today-3;;3 ditë më parë
rails.rollingBuffer.title.today-4;;4 ditë më parë
rails.rollingBuffer.title.today-5;;5 ditë më parë
rails.rollingBuffer.title.today-6;;6 ditë më parë
rails.rollingBuffer.title.today-7;;7 ditë më parë
rails.subscription;;Abonimi
rails.title.morefrom;;Më shumë nga %1
recordingCancel.cancelSeries;;Anullo Serinë
recordingCancel.subtitle;;Dëshiron të anullosh të gjithë serinë?
recordingCancel.title;;Regjistrimi u anullua
recordings.update.please.wait;;Të lutem prit
relatedbyactor;;Më shumë nga %1
relatedbydirector;;Drejtuar nga %1
relatedbygenre;;Më shumë %1 për ty
relatedto;;Në lidhje me %1
sdk7.browse.myHome.aboutMyHome;;Rreth Shtëpisë Sime
sdk7.browse.myHome.breadcrumbTitle;;Shtëpia ime
sdk7.browse.myHome.button.browseOnDemand;;Shfletoni On Demand
sdk7.browse.myHome.button.openTvGuide;;Hap Guidën TV
sdk7.browse.myHome.contentInfo;;Shfaqje televizive të regjistruara, filma dhe seriale të marra me qira ose të preferuarat e ruajtura - gjeji të gjitha në këtë zonë. Mos ngurro të shfletosh katalogun sipas kërkesës ose Guidën TV për diçka për të regjistruar, marrë me qira ose abonuar.
sdk7.countrySelection.text;;Kjo përzgjedhje do të përdoret për të konfiguruar gjuhën e aplikacionit.
sdk7.countrySelection.title;;Të lutem zgjidh shtetin tënd
sdk7.epg.focusedTile.remaining;;%1 e mbetur
sdk7.lockedPin.modal.subtitle;;Vendos kodin PIN për të shkyçur %1
sdk7.lockedPin.modal.title;;E kyçur me PIN
