key;en-GROUP;cs-CZ-x-CZ text
kids.gdpr.privacy.default.consent;;Mělo by se jednat o základní text oznámení (verze 0): <br/> <br/>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean sagittis dignissim metus nec scelerisque. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam vulputate tempus risus, vel dignissim leo sodales id. Morbi eu arcu ligula. Suspendisse sed leo placerat, cursus ligula ac, consequat leo. Vestibulum vehicula vel dolor ut consequat. Curabitur vel justo justo. Vestibulum urna quam, fringilla in elit mollis, porta vestibulum odio. Vestibulum pretium dolor pharetra, euismod odio at, dictum felis. Curabitur pulvinar imperdiet ornare. Vivamus ac venenatis nulla, vel scelerisque quam. Maecenas venenatis ultrices felis et hendrerit. Nunc magna orci, suscipit a justo dictum, ornare consectetur tortor. Ut lobortis fermentum rutrum.<br/><br/>Nullam enim lacus, consequat et purus id, hendrerit faucibus massa. Sed tempor, mauris sed faucibus sodales, risus lorem tempus dolor, eget posuere dolor eros a tortor. Sed vestibulum eros eu ornare dignissim. Fusce tristique lectus mattis metus feugiat, sed dignissim dui pharetra. Cras diam turpis, finibus sed lorem ac, interdum ullamcorper massa. Ut tempus suscipit leo, at gravida metus pretium ac. Sed vestibulum vulputate turpis, vitae auctor nulla sagittis non. Cras vitae quam nec nisi imperdiet dictum in at arcu. Morbi in tempor massa. Duis efficitur nec magna et cursus. Ut ultrices, felis id dictum posuere, tortor felis fermentum urna, eu porta orci massa ut mi. Sed ut aliquam diam, a tristique ligula.<br/><br/>Aliquam justo sapien, egestas sed feugiat a, dignissim non justo. Ut vitae neque vel magna efficitur consectetur. Sed rhoncus neque euismod arcu varius, sed rutrum ex ullamcorper. Aenean lacus nisl, interdum vitae efficitur quis, facilisis id nunc. Nulla hendrerit dignissim orci. Curabitur fringilla, dui nec gravida vestibulum, ex ligula finibus ipsum, et malesuada ante est id ligula. Suspendisse vitae diam quam. Duis quis cursus orci, id hendrerit magna. Maecenas lacus sem, lobortis quis massa non, ornare condimentum lectus. Nam vitae sagittis diam. Suspendisse potenti.<br/><br/>Quisque vitae posuere metus. Etiam cursus nisl eleifend erat placerat gravida. Donec id nibh sem. Integer maximus sapien et ex malesuada posuere. Vestibulum interdum ex elementum volutpat feugiat. Suspendisse nec tincidunt libero. Phasellus fermentum posuere mauris, in faucibus libero malesuada quis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse at finibus ligula.<br/><br/>Pellentesque euismod urna sed ante ultrices, sed dapibus nisi porta. Mauris faucibus tempus rutrum. Aliquam placerat, risus vitae rutrum faucibus, lectus lectus bibendum libero, eu iaculis metus massa in libero. Nulla at leo semper, euismod augue id, tempor turpis. Nulla viverra, tellus ut porttitor laoreet, arcu tortor faucibus ipsum, et condimentum nibh felis sed eros. Duis pretium arcu ligula, vitae accumsan metus pretium a. Praesent tellus tortor, interdum quis massa ut, tincidunt vehicula lectus.
kids.gdpr.privacy.default.notice;;Mělo by se jednat o základní text oznámení (verze 0): <br/> <br/>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean sagittis dignissim metus nec scelerisque. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam vulputate tempus risus, vel dignissim leo sodales id. Morbi eu arcu ligula. Suspendisse sed leo placerat, cursus ligula ac, consequat leo. Vestibulum vehicula vel dolor ut consequat. Curabitur vel justo justo. Vestibulum urna quam, fringilla in elit mollis, porta vestibulum odio. Vestibulum pretium dolor pharetra, euismod odio at, dictum felis. Curabitur pulvinar imperdiet ornare. Vivamus ac venenatis nulla, vel scelerisque quam. Maecenas venenatis ultrices felis et hendrerit. Nunc magna orci, suscipit a justo dictum, ornare consectetur tortor. Ut lobortis fermentum rutrum.<br/><br/>Nullam enim lacus, consequat et purus id, hendrerit faucibus massa. Sed tempor, mauris sed faucibus sodales, risus lorem tempus dolor, eget posuere dolor eros a tortor. Sed vestibulum eros eu ornare dignissim. Fusce tristique lectus mattis metus feugiat, sed dignissim dui pharetra. Cras diam turpis, finibus sed lorem ac, interdum ullamcorper massa. Ut tempus suscipit leo, at gravida metus pretium ac. Sed vestibulum vulputate turpis, vitae auctor nulla sagittis non. Cras vitae quam nec nisi imperdiet dictum in at arcu. Morbi in tempor massa. Duis efficitur nec magna et cursus. Ut ultrices, felis id dictum posuere, tortor felis fermentum urna, eu porta orci massa ut mi. Sed ut aliquam diam, a tristique ligula.<br/><br/>Aliquam justo sapien, egestas sed feugiat a, dignissim non justo. Ut vitae neque vel magna efficitur consectetur. Sed rhoncus neque euismod arcu varius, sed rutrum ex ullamcorper. Aenean lacus nisl, interdum vitae efficitur quis, facilisis id nunc. Nulla hendrerit dignissim orci. Curabitur fringilla, dui nec gravida vestibulum, ex ligula finibus ipsum, et malesuada ante est id ligula. Suspendisse vitae diam quam. Duis quis cursus orci, id hendrerit magna. Maecenas lacus sem, lobortis quis massa non, ornare condimentum lectus. Nam vitae sagittis diam. Suspendisse potenti.<br/><br/>Quisque vitae posuere metus. Etiam cursus nisl eleifend erat placerat gravida. Donec id nibh sem. Integer maximus sapien et ex malesuada posuere. Vestibulum interdum ex elementum volutpat feugiat. Suspendisse nec tincidunt libero. Phasellus fermentum posuere mauris, in faucibus libero malesuada quis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse at finibus ligula.<br/><br/>Pellentesque euismod urna sed ante ultrices, sed dapibus nisi porta. Mauris faucibus tempus rutrum. Aliquam placerat, risus vitae rutrum faucibus, lectus lectus bibendum libero, eu iaculis metus massa in libero. Nulla at leo semper, euismod augue id, tempor turpis. Nulla viverra, tellus ut porttitor laoreet, arcu tortor faucibus ipsum, et condimentum nibh felis sed eros. Duis pretium arcu ligula, vitae accumsan metus pretium a. Praesent tellus tortor, interdum quis massa ut, tincidunt vehicula lectus.
kids.gdpr.privacy.notice.title;;"Funkce ""Doporučení"""
kids.languages.turnedOff;;VYPNUTO
kids.languages.turnedOn;;ZAPNUTO
kids.menu;;Menu
kids.menu.episode;;Díl
kids.menu.season;;Série
kids.notForKids.changeChannel;;Chcete-li vyhledat více pořadů pro děti, přepněte kanál nebo se vraťte zpět do nabídky
kids.notForKids.showNotForKids;;Tento pořad není pro děti
kids.notification.incorrect.configuration.description;;Cesta k aplikaci není k dispozici
kids.notification.network.offline.subtitle;;Došlo k chybě sítě
kids.notification.network.offline.title;;Chyba sítě
kids.notification.noContent.message;;Neexistuje Žádný dostupný obsah
kids.notification.noContent.subtitle;;Žádný obsah pro děti
kids.notification.noContent.title;;Žádný obsah pro děti
kids.notification.player.error.subtitle;;Došlo k chybě přehrávače
kids.notification.player.error.title;;Došlo k chybě přehrávače
kids.pinEntry.accessProfile;;Přístup k profilu
kids.pinEntry.approveProfile;;Schválení profilu
kids.pinEntry.deleteProfile;;Chcete-li odstranit profil %1
kids.pinEntry.enterSettings;;Chcete-li zadat nastavení
kids.pinEntry.exit;;Chcete-li ukončit dětský režim
kids.pinEntry.help.defaultPin;;Výchozí hlavní kód PIN je 1234.
kids.pinEntry.help.details;;Pokud jej povolíte, bude váš hlavní kód PIN sloužit k ověření příkazů <br/> a plateb a k provedení některých změn nastavení. <br/> <br/> <br/>Váš hlavní PIN se také bude používat pro změnu nastavení rodičovské kontroly <br/> (pokud se rozhodnete je aktivovat). <br/> <br/> <br/>Pokud zapomenete svůj kód PIN, můžete jej obnovit online na adrese vodafone.cz/pece.
kids.pinEntry.help.whats;;Co je to hlavní kód PIN?
kids.pinEntry.title;;Zadejte svůj kód PIN
kids.player.back;;Zpět
kids.player.info;;Info
kids.player.retry;;Zkusit znovu
kids.player.setCountdown;;Nastavit odpočítávání
kids.playerError;;Došlo k chybě přehrávače
kids.profileSelection.addProfile;;Přidat profil
kids.profileSelection.aged;;Věk %1
kids.profileSelection.bedtimeStartedSince;;Večerka začala před %1
kids.profileSelection.bedtimeStartedSince.atLeastTwoHours;;Večerka začala před %1 hodinami
kids.profileSelection.bedtimeStartedSince.betweenOneHourAndTwoHours;;Večerka začala před %1 hodinami a %2 minutami
kids.profileSelection.bedtimeStartedSince.lessThanOneHour;;Večerka začala před %1 minutami
kids.profileSelection.countdownFinishedSince;;Odpočítávání skončilo před %1
kids.profileSelection.settings;;Nastavení 
kids.profileSelection.unconfirmed;; Rozdíl oproti původní verzi 
kids.profiles;;Profily
kids.programInfo.audioDescription;;Zvukový popis
kids.programInfo.language;;Jazyk
kids.programInfo.subtitles;;Titulky
kids.settings;;Rodičovská nastavení
kids.settings.bedtime;;Večerka
kids.settings.bedtime.from;;Od
kids.settings.bedtime.setBedtime;;Nastavte večerku
kids.settings.bedtime.setTime;;Nastavit čas
kids.settings.bedtime.to;;Do
kids.settings.changeAge;;Změnit věk
kids.settings.changeAvatar;;Změnit avatara
kids.settings.changeName;;Změnit jméno
kids.settings.content.preferredLanguage;;Upřednostňovaný jazyk
kids.settings.contentSettings;;Nastavení obsahu
kids.settings.delete;;Odstranit
kids.settings.deleteProfile;;Odstranit profil
kids.settings.editProfile;;Změnit profil
kids.settings.help;;Nápověda
kids.settings.pinRequest;;Žádost o PIN
kids.settings.privacy;;Doporučení
kids.settings.showVideos;;Zobrazit úvodní video
kids.settings.subtitle.askForPin;;Vyžadovat kód PIN
kids.settings.subtitle.deleteProfile.part1;;Opravdu chcete
kids.settings.subtitle.deleteProfile.part2;;odstranit profil %1?
kids.settings.timeManagement;;Organizace času
kids.tick.dontShowAgain;;Nezobrazovat znovu
kids.timeOver.addMoreTime;;Přidat více času
kids.timeOver.exit;;Ukončit dětský režim
kids.timeOver.takeABreak;;Je čas na přestávku
kids.timeOver.wakeup;;Budíček
kids.turnOff;;VYPNOUT
kids.turnOn;;ZAPNOUT
kids.turnedOff;;VYPNUTO
kids.turnedOn;;ZAPNUTO
kids.update.gdpr.privacy.consent.subtitle;;"Chcete-li využívat ""Doporučení"", musíte znovu udělit souhlas."
kids.update.gdpr.privacy.consent.subtitle.part2;;Vaše volba ovlivňuje všechny profily.
kids.update.gdpr.privacy.consent.title;;"Funkce ""Doporučení"""
kids.update.gdpr.privacy.notice.subtitle;;Chcete-li pokračovat v používání služby VTV, přečtěte si tento text a vyberte možnost Pokračovat
kids.update.gdpr.privacy.notice.title;;"Aktivace ""Doporučení"""
language.afr;;afrikánština
language.ang;;angličtina, stáří (ca 450-1100)
language.ara;;arabština
language.auto;;Automaticky
language.ces;;čeština
language.chi;;čínština
language.dan;;Dánština
language.de-DE;;Deutsch (DE)
language.dut;;holandština
language.ell;;řečtina
language.en-GB;;English (GB)
language.en-US;;English (US)
language.es-ES;;Español (ES)
language.fas;;perština
language.fin;;finština
language.grc;;řečtina
language.gsw;;švýcarská němčina
language.heb;;hebrejština
language.hin;;hindština
language.hun;;maďarština
language.isl;;islandština
language.it-IT;;Italština (IT)
language.jap;;japonština
language.jpn;;japonština
language.kaz;;kazaština
language.kor;;korejština
language.lav;;lotyština
language.mao;;maorština
language.mri;;maorština
language.mul;;Původní znění
language.nld;;holandština
language.nor;;norština
language.per;;perština
language.pol;;polština
language.por;;portugalština
language.prt;;portugalština
language.pt-BR;;Português (BR)
language.pt-PT;;Português (PT)
language.qaa;;Původní znění
language.ron;;rumunština
language.rus;;ruština
language.slk;;slovenština
language.slv;;slovenština
language.sqi;;albánština
language.ukr;;ukrajinština
language.zho;;čínština
mainMenu.kids;;Děti
mainMenu.mediaLibrary;;Knihovna
mainMenu.onTv.title;;Právě se vysílá
mainMenu.recordings;;Nahrávky
mainMenu.topBar.search;;Hledat filmy, herce, seriály ...
mainMenu.tvGuide.subscribeNow;;Přeplatit nyní
mainMenu.tvGuide.watch;;Sledovat
maintenance.description;;Váš Set Top Box právě optimalizuje nastavení. Může to trvat několik minut. Dokud není akce dokončena, nevypínejte ani neodpojujte zařízení.
maintenance.title;;Probíhá aktualizace systému
miniProgramInfo.showMore;;Zobrazit více informací
myApps.Shortcut.Add;;Přidat do Moje aplikace
myApps.Shortcut.Manage;;Spravovat
myApps.add.info;;Vyberte jednu nebo více aplikací, které chcete přidat
myApps.add.title;;Přidat do Moje aplikace
myApps.delete.info;;Vyberte aplikace, které chcete odstranit
myApps.delete.title;;Odstranit z Moje aplikace
myApps.manage.favorite;;Moje aplikace - Oblíbené
myApps.manage.info.favorite;;prohlížejte si a spravujte své oblíbené aplikace
myApps.manage.info.favorite.number;;%1 aplikace
myApps.manage.info.recent;;ukazuje až 20 nedávno používaných aplikací
myApps.manage.info.recent.number;;Zatím nepoužíváte žádné aplikace.
myApps.manage.recent;;Moje aplikace - Nejnovější
myApps.manage.title;;Moje aplikace
myApps.reorder.info.default;;Vyberte aplikace, které chcete přesunout
myApps.reorder.info.reorderMode;;Šipkami doleva a doprava jednoduše přesuňte aplikaci tam, kam ji chcete umístit. Stiskněte OK pro umístění.
myApps.reorder.title;;Přeuspořádat Moje aplikace
mytv.external.myTVRecommendations;;Doporučení na míru
mytv.kaltura.Adults;;Uzamčené programy
mytv.recommendations;;Doporučení na míru
mytv.recommended;;Doporučení
mytv.recordings.all.lastMonth;;Minulý měsíc
mytv.recordings.all.lastWeek;;Minulý týden
mytv.recordings.all.month;;Tento měsíc
mytv.recordings.all.older;;Starší
mytv.recordings.all.week;;Tento týden
mytv.recordings.cloud.future;;Vyprší později
mytv.recordings.cloud.month;;Vyprší v tomto měsíci
mytv.recordings.cloud.never;;Bez data platnosti
mytv.recordings.cloud.nextMonth;;Vyprší v příštím měsíci
mytv.recordings.cloud.nextWeek;;Vyprší v příštím týdnu
mytv.recordings.cloud.week;;Vyprší v tomto týdnu
mytv.recordings.cloud.year;;Vyprší v tomto roce
mytv.recordings.failed.lastMonth;;Minulý měsíc
mytv.recordings.failed.lastWeek;;Minulý týden
mytv.recordings.failed.month;;Tento měsíc
mytv.recordings.failed.week;;Tento týden
mytv.recordings.local.hd;;HD
mytv.recordings.local.lastMonth;;Minulý měsíc
mytv.recordings.local.lastWeek;;Minulý týden
mytv.recordings.local.month;;Tento měsíc
mytv.recordings.local.older;;Starší
mytv.recordings.local.other;;Ostatní
mytv.recordings.local.sd;;SD
mytv.recordings.local.uhd;;4K
mytv.recordings.local.week;;Tento týden
mytv.recordings.month;;Tento měsíc
mytv.recordings.nextWeek;;Příští týden
mytv.recordings.older;;Starší nahrávky
mytv.recordings.scheduledRecordings.clashes;;Konflikty v nahrávkách
mytv.recordings.scheduledRecordings.series;;Nahrávky seriálů
mytv.recordings.scheduledRecordings.single;;Jednotlivé nahrávky
mytv.recordings.soon;;Brzy vyprší
mytv.recordings.unwatched.lastMonth;;Minulý měsíc
mytv.recordings.unwatched.lastWeek;;Minulý týden
mytv.recordings.unwatched.month;;Tento měsíc
mytv.recordings.unwatched.week;;Tento týden
mytv.recordings.week;;Tento týden
mytvRecommendations1;;Pokračujte, kde jste přestali
mytvRecommendations2;;Doporučení na míru
nagra.information.authNToken;;Poslední obnovení tokenu
nagra.information.cakVersion;;Verze CAK
nagra.information.chipset.revision;;Revize čipové sady
nagra.information.chipset.type;;Typ čipové sady
nagra.information.dasSDKVersion;;DAS SDK Verze
nagra.information.irdsn;;IRDSN
nagra.information.lastAuthNTokenDate;;Poslední obnovení tokenu AuthN
nagra.information.lastConnectionsToOTT;;Poslední připojení k OTT
nagra.information.lastEntitlement;;Poslední datum oprávnění
nagra.information.lastLicenceUpdate;;Poslední aktualizace licencí
nagra.information.lastProvision;;Datum posledního poskytnutí
nagra.information.nc.OpVaultTimestamp;;
nagra.information.nc.deviceUniqueId;;Jedinečné ID zařízení
nagra.information.nc.initStatus;;Počáteční stav
nagra.information.nc.integrationContextCertificateName;;Název certifikátu
nagra.information.nc.integrationContextCertificateOperatorId;;ID operátora certifikátu
nagra.information.nc.integrationContextCertificatePlatform;;Platforma certifikátů
nagra.information.nc.integrationContextCertificateSecurityLevel;;Úroveň zabezpečení certifikátu
nagra.information.nc.integrationContextCertificateType;;Typ certifikátu
nagra.information.nc.nuid;;NUID
nagra.information.nc.prmaVersion;;Verze PRMA
nagra.information.nc.prmcVersion;;Verze PRMC
nagra.information.nuid;;NUID
nagra.information.projectInfo;;Informace o projektu
nagra.popups.connectionLost;;Problém s připojením set-top boxu
nagra.popups.defaultError;;Kanál není předplacen
nagra.popups.suspended;;Set-top box pozastaven
nagra.popups.uninitialized;;Set-top box není inicializován
nagra.popups.unsubscribed;;Ke kanálu nemáte předplatné
network.wifi.band.unit;;GHz
network.wifi.quality.good;;Nejlepší připojení
network.wifi.quality.incompatible;;Slabé připojení
network.wifi.quality.sufficient;;Dostatečné připojení
networkAccessValidation.defaultErrorMessage;;Neplatný přístup k síti. Připojte prosím váš set-top box k přístupu k širokopásmové síti Vodafone a zkuste to znovu.
notification.HDCPError.description;;Chyba HDCP popisu
notification.HDCPError.title;;Chyba HDCP
notification.adultProgram.hidden.description;;Změna rodičovského nastavení pořadů, které lze sledovat
notification.adultProgram.hidden.title;;Pořad je skrytý
notification.alexa.alert.description;;"Řekněte ""Alexo stop"" pro vypnutí."
notification.alexa.alert.title;;Alexa budík
notification.alexa.alexaNumberOfNotification.title;;Máte %1 upozornění od Alexy 
notification.alexa.apps.notAvailable;;Ovládací prvky médií zatím nejsou uvnitř aplikací k dispozici
notification.alexa.apps.wrongContext;;Ovládací prvky médií zatím nejsou uvnitř aplikací k dispozici
notification.alexa.listenToNotification.description;;"Řekněte ""poslechnout upozornění"", abyste se doslechli více"
notification.alexa.pressingVoiceButton.description;;"Zmáčkněte tlačítko Hlas a řekněte ""poslechnout upozornění"", abyste se doslechli více"
notification.alexaAction.disabledInsideApps;;Hlasové ovládání nefunguje uvnitř aplikací.
notification.app.cts.token.error;;Došlo k chybě. Aplikace se může spouštět s určitými omezeními.
notification.app.gdpr.disagree;;Přejděte do Nastavení a změňte předvolbu souhlasu se zpracováním osobních údajů
notification.app.notSubscribed;;K této aplikaci nemáte opravnění
notification.automaticRecordings.channelDisabled;;Chcete-li sledovat tento obsah, povolte pro tento kanál automatické nahrávky.
notification.backend.error;;SC402: Server ohlásil chybu. Zkuste to prosím později.
notification.bleRemotePairing.failed;;Nebylo možné spárovat ovladač
notification.bleRemotePairing.info;;Pro použití hlasového ovládání, spárujte dálkový ovladač takto: stiskněte a držte podobu pěti vteřin žluté tlačítko a tlačítko 3.
notification.bleRemotePairing.success;;Dálkový ovladač je spárován a připraven k prvotnímu použití
notification.bluetooth.connected;;Bluetooth připojen
notification.bluetooth.disconnected;;Bluetooth odpojen
notification.bluetooth.fail;;Párování selhalo
notification.bluetooth.multiple.remove.subtitle;;%1 zařízení úspěšně odstraněna
notification.bluetooth.noDevice;;Nebylo nalezeno žádné nové zařízení
notification.bluetooth.rcu.connected;;Tento ovladač je nyní připojen skrze Bluetooth
notification.bluetooth.remove;;Odstranit zařízení bluetooth
notification.bluetooth.remove.subtitle;; Úspěšně odstraněno
notification.bluetooth.success;;Úspěšně přidáno
notification.bluetooth.unsupportedRcu.description;;Verze ovladače není správná.
notification.bluetooth.unsupportedRcu.title;;Nepodporovaný ovladač
notification.buy.notPossible;;Na tomto zařízení není možné zakoupit tento obsah.
notification.channel.liveApp;;Aplikaci %1 otevřete stisknutím tlačítka NAHORU nebo DOLŮ.
notification.channel.liveApp.redButton;;Aplikaci %1 spusťte stisknutím ČERVENÉHO tlačítka.
notification.drmUnavailable.description;;Nagra ještě není připravena
notification.drmUnavailable.title;;DRM nedostupné
notification.episode.past;;Díl bude brzy dostupný ve vašich nahrávkách
notification.episode.scheduled;;Nahrávání naplánováno
notification.episode.scheduledNew;;Řada %1 byla naplánována
notification.episode.start;;Nahrávání probíhá
notification.folder.confirm;;OK
notification.frequentlyAskedQuestions.fetch.error;;Nelze zobrazit často kladené dotazy
notification.mcast.insufficient.bandwidth;;Nedostatečná rychlost internetového připojení
notification.network.fallback;;Nové konfigurace nejsou validní. Zkuste to, prosím, znovu nebo stiskněte tlačítko ZPĚT pro zrušení nastavení a vrácení předchozí konfigurace.
notification.network.fallback.Id;;ID %1
notification.network.noMuMimoEnabled;;Kvalita služby může být snížena v důsledku špatné šířky pásma WiFi, chcete-li tento problém vyřešit, přejděte do části Nastavení > Další nastavení > Síť a vyberte novou síť
notification.network.notEnoughBandwidth;;Kvalita služby může být snížena v důsledku špatné šířky pásma WiFi, chcete-li tento problém vyřešit, přejděte do části Nastavení > Další nastavení > Síť a vyberte novou síť
notification.offline.error;;Zařízení je v režimu offline
notification.player.blackout.message1;;Tento pořad vám nemůžeme zobrazit z důvodu omezení práv. Zkuste to později.
notification.player.blackout.message2;;Tento pořad vám nemůžeme zobrazit z důvodu omezení práv. Zkuste to později.
notification.player.concurrent;;Pořad se již přehrává na maximálním možném počtu zařízení.
notification.player.noRights;;SB003: Drobný výpadek signálu nebo používáte více zařízení najednou.
notification.ppv.success;;Nákup proběhl v pořádku
notification.privacy.fail.description;;Zkuste to později znovu
notification.privacy.fail.title;;Chyba ochrany osobních údajů 
notification.programInfo.failure;;SM010: Došlo k chybě, kvůli níž nelze zobrazit informace o pořadu.
notification.programInfo.purchase.disclaimer;;Nákup se spustí po zadání kódu PIN, a poté již nebude možné jej zrušit
notification.programInfo.recording.noChannel;;Tato nahrávka nepatří do žádného kanálu.
notification.programInfo.rental.days.disclaimer;;Vaše výpůjčka na %1 dnů začíná běžet po zadání kódu PIN, a poté již nebude možné ji zrušit
notification.programInfo.rental.hour.disclaimer;;Vaše výpůjčka na %1 h začíná běžet po zadání kódu PIN, a poté již nebude možné ji zrušit
notification.programInfo.rental.hours.disclaimer;;notification.programInfo.rental.hours.disclaimer
notification.programInfo.rental.month.disclaimer;;Vaše výpůjčka na %1 měsíc začíná běžet po zadání kódu PIN, a poté již nebude možné ji zrušit
notification.programInfo.rental.months.disclaimer;;Vaše výpůjčka na %1 měsíce/měsíců začíná běžet po zadání kódu PIN, a poté již nebude možné ji zrušit
notification.programInfo.subscribe.disclaimer;;Vaše výpůjčka začíná běžet po zadání kódu PIN
notification.recommendations.disabled;;„Doporučení“ jsou neaktivní.
notification.recommendations.enabled;;„Doporučení“ jsou aktivní.
notification.recommendationsOptIn;;Pokud chcete znovu VYPNOUT, přejděte do části Nastavení> Nastavení obsahu
notification.recommendationsOptOut;;Pokud chcete znovu ZAPNOUT, přejděte do části Nastavení> Nastavení obsahu
notification.recording.cancel.failed;;Nahrávání nelze zrušit. Zkuste to prosím později.
notification.recording.clash.multiple;;Byly zjištěny vícenásobné konflikty v nahrávání
notification.recording.clash.multiple.description;;Pro vyřešení stiskněte  %1 na vašem dálkovém ovladači a přejděte v menu do Moje TV / Naplánované nahrávky
notification.recording.clash.resolve;;Neshoda v nahrávání vyřešena
notification.recording.clash.resolve.description;;Popis
notification.recording.clash.single;;Byl zjištěn konflikt v nahrávání
notification.recording.clash.single.description;;Pro vyřešení stiskněte  %1 na vašem dálkovém ovladači a přejděte v menu do Moje TV / Naplánované nahrávky
notification.recording.delete.failed;;Nahrávku nelze odstranit. Zkuste to prosím později.
notification.recording.description.deleteRecordings;;Smazáno. Úspěšně smazáno %1 všech nahrávek
notification.recording.fullCloudProtection;;Příliš chráněných síťových nahrávek
notification.recording.fullLocalProtection;;Příliš chráněných lokálních nahrávek
notification.recording.fullProtectionTitle;;Nahrávku nelze zařadit do chráněných
notification.recording.localNotPossible;;Musíte se připojit ke svému lokálnímu pevnému disku pro naplánování této nahrávky
notification.recording.past;;Obsah bude brzy dostupný ve vašich nahrávkách
notification.recording.scheduledNew;;Nahrávání %1 bylo naplánováno
notification.recording.title.delete;;Smazat nahrávku 
notification.recordings.update;;Aktualizace Vodafone TV
notification.remoteBooking.hddConnected.title;;Chcete-li rezervovat nahrávky na dálku, stiskněte zelené tlačítko a změňte pohotovostní režim svého boxu.
notification.remoteDiagnostics.speedTest.ongoing;;Probíhá test rychlosti, počkejte prosím.
notification.remotePairing.timeout;;Omlouváme se, párování selhalo. Zkuste to, prosím, znovu stisknutím tlačítka pro hlasové ovládání.
notification.rent.notPossible;;Na tomto zařízení není možné si tento obsah vypůjčit.
notification.rollingBuffer.description;;nebo stiskněte ZPĚT pro pokračování sledování aktuálního pořadu
notification.rollingBuffer.title;;Zpět na živé vysílaní za 
notification.search.characterLimit.description;;Zadali jste maximální počet znaků
notification.search.characterLimit.title;;Dosažení limitu
notification.search.fail.description;;Nastala chyba při načítání obsahu
notification.search.fail.title;;Chyba vyhledávání
notification.seriesInfo.fetchDataFailed;;SM011: Nelze zobrazit všechny dostupné díly. Zkontrolujte připojení k internetu.
notification.seriesInfo.missingMetadata;;Chybí ID seriálu. Nelze zobrazit informace o pořadu.
notification.seriesRecording.alreadyScheduled;;Tento obsah je již naplánován. Pro více možností vyberte tento obsah pomocí OK
notification.seriesRecording.past;;Nahrávky najdete v Moje TV
notification.seriesRecording.pastNew;;Předchozí epizody budou brzy k dispozici v sekci Moje nahrávky.
notification.soundbox.audio.off;;Zvukový výstup je VYPNUT
notification.soundbox.audio.stb;;Zvukový výstup nastaven přes Set Top Box
notification.soundbox.audio.tv;;Zvukový výstup nastaven přes TV
notification.soundbox.connected;;%1 připojeno
notification.soundbox.description;;Přejděte do Nastavení / Připojená zařízení / Hlasoví asistenti, které chcete ovládat.
notification.soundbox.disconnected;;odpojeno
notification.subscribe.notPossible;;Na tomto zařízení není možné předplatit tento obsah.
notification.subscription.success;;Předplacení proběhlo v pořádku
notification.timeout.error;;SC401: Při získávání dat byl překročen časový limit. Zkontrolujte, zda se nevyskytly problémy s připojením k internetu v routeru. Případně navštivte  https://www.vodafone.cz/vypadky/ kde naleznete více podrobností
notification.trickMode.notAllowed;;V souvislosti s požadavkem FTV Prima nelze žádné její programy zrychleně přetáčet vpřed.
notification.vodafoneNetworkLost.description;;Abyste mohli využívat všechny funkce Vodafone TV, musíte být připojeni k síti Vodafone
notification.vodafoneNetworkLost.title;;Síť Vodafone ztracena
notification.voiceAction.appNonExistent;;Tato aplikace nepodporuje hlasové ovládání
notification.voiceAction.appNotAvailable;;Tato aplikace nepodporuje hlasové ovládání
notification.voiceAction.areaNonExistent;;Toto vám nemůžeme ukázat, protože to neexistuje
notification.voiceAction.genericError;;Omlouváme se, něco se pokazilo, zkuste to prosím znovu
notification.voiceAction.keyPressedTooShort;;Nerozuměli jsme, podržte tlačítko pro ovládání hlasem déle a hovořte
notification.voiceAction.kids.profileNotSelected;;Před zadáním hlasového vstupu musíte vybrat profil
notification.voiceAction.kids.screenNotAllowed;;Před použitím hlasového vstupu musíte jít do Menu
notification.voiceAction.misunderstanding;;Omlouváme se, nerozuměli jsme vám, zkuste to prosím znovu
notification.voiceAction.noChannel;;Kanál %1 neexistuje
notification.voiceAction.noChannelError;;Tento kanál neexistuje
notification.voiceAction.noChannelNumber;;Neplatné číslo kanálu
notification.voiceAction.noResults;;Nic jsme nenašli, řekněte to ještě jednou prosím
notification.voiceAction.notAllowedContent;;Omlouváme se, nemáte právo sledovat tento typ obsahu
notification.voiceAction.notAllowedInApp;;Akce není s touto aplikací možná
notification.voiceAction.notPossible;;Není možné provést požadovanou akci.
notification.voiceAction.notSupportedInKids;;Omlouváme se, s Vodafone Kids to nejde.
notification.voiceAction.voiceASRFailure;;Váš požadavek jsme nemohli zpracovat. Zkuste to znovu.
notification.voiceAction.voiceToSearch;;Použít Hlasové vyhledávání
notifications.privacy.fail.title;;Nelze získat přístup k informacím o zpracování osobních údajů
optIn;;Zapnout nyní
pin.consecutiveDigitsError.popup.text;;Čtyři stejné číslice za sebou nejsou povoleny (např. 2222)<br> Prosím, zvolte jinou kombinaci.
pin.consecutiveDigitsError.popup.title;;Tato kombinace není povolena<br><br> 
pin.lockedPin.notification.description;;Zkuste to prosím znovu za %1
