key;en-GROUP;it-IT-x-IT text
myApps.add.info;;Seleziona una o più app che vuoi aggiungere
myApps.add.title;;Aggiungi a Le mie app
myApps.delete.info;;Seleziona le app che vuoi eliminare
myApps.delete.title;;Elimina da Le mie app
myApps.manage.favorite;;Le mie app - Preferiti
myApps.manage.info.favorite;;Gestisci le tue app preferite
myApps.manage.info.favorite.number;;%1 app
myApps.manage.info.recent;;mostra le 20 applicazioni utilizzate di recente
myApps.manage.info.recent.number;;Nessuna app utilizzata finora.
myApps.manage.recent;;Le mie app - Recenti
myApps.manage.title;;Le mie app
myApps.reorder.info.default;;Seleziona l'app che vuoi spostare
myApps.reorder.info.reorderMode;;Muovi a destra o a sinistra per spostare l'app dove preferisci, premi OK per confermare
myApps.reorder.title;;Riordina le app
mytv.external.myTVRecommendations;;Consigliati per te
mytv.kaltura.Adults;;programmi bloccati
mytv.recommendations;;Consigliati per te
mytv.recommended;;Continua a guardare
mytv.recordings.all.lastMonth;;Mese scorso
mytv.recordings.all.lastWeek;;Settimana scorsa
mytv.recordings.all.month;;Questo mese
mytv.recordings.all.older;;Registrazioni precedenti
mytv.recordings.all.week;;Questa settimana
mytv.recordings.cloud.future;;In scadenza più avanti
mytv.recordings.cloud.month;;In scadenza questo mese
mytv.recordings.cloud.never;;Senza scadenza
mytv.recordings.cloud.nextMonth;;In scadenza il mese prossimo
mytv.recordings.cloud.nextWeek;;In scadenza settimana prossima
mytv.recordings.cloud.week;;In scadenza questa settimana
mytv.recordings.cloud.year;;In scadenza quest'anno
mytv.recordings.failed.lastMonth;;Ultimo mese
mytv.recordings.failed.lastWeek;;Settimana scorsa
mytv.recordings.failed.month;;Questo mese
mytv.recordings.failed.week;;Questa settimana
mytv.recordings.local.hd;;HD
mytv.recordings.local.lastMonth;;Ultimo mese
mytv.recordings.local.lastWeek;;Ultima settimana
mytv.recordings.local.month;;Mese corrente
mytv.recordings.local.older;;Registrazioni precedenti
mytv.recordings.local.other;;Altro
mytv.recordings.local.sd;;SD
mytv.recordings.local.uhd;;4K
mytv.recordings.local.week;;Questa settimana
mytv.recordings.month;;Questo mese
mytv.recordings.nextWeek;;Prossima settimana
mytv.recordings.older;;Le mie registrazioni
mytv.recordings.scheduledRecordings.clashes;;Registrazioni in conflitto
mytv.recordings.scheduledRecordings.series;;Serie registrate
mytv.recordings.scheduledRecordings.single;;Registrazioni singole
mytv.recordings.soon;;In scadenza
mytv.recordings.unwatched.lastMonth;;Mese scorso
mytv.recordings.unwatched.lastWeek;;Settimana scorsa
mytv.recordings.unwatched.month;;Questo mese
mytv.recordings.unwatched.week;;Questa settimana
mytv.recordings.week;;Questa settimana
mytvRecommendations1;;Continua a guardare
mytvRecommendations2;;Consigliati per te
nagra.information.authNToken;;AuthNToken
nagra.information.cakVersion;;Versione CAK
nagra.information.chipset.revision;;Revisione chipset
nagra.information.chipset.type;;Chipset
nagra.information.dasSDKVersion;;
nagra.information.irdsn;;IRDSN
nagra.information.lastAuthNTokenDate;;Ultimo aggiornamento token
nagra.information.lastConnectionsToOTT;;Ultima connessione ad OTT
nagra.information.lastEntitlement;;Ultima data di autorizzazione
nagra.information.lastLicenceUpdate;;Ultimo aggiornamento licenze
nagra.information.lastProvision;;Ultima data di attivazione
nagra.information.nc.OpVaultTimestamp;;
nagra.information.nc.deviceUniqueId;;ID Univoco di dispositivo
nagra.information.nc.initStatus;;Status Init
nagra.information.nc.integrationContextCertificateName;;Nome di certificato
nagra.information.nc.integrationContextCertificateOperatorId;;Certificato ID Operatore
nagra.information.nc.integrationContextCertificatePlatform;;Certificato di piattaforma
nagra.information.nc.integrationContextCertificateSecurityLevel;;Certificato di livello di sicurezza
nagra.information.nc.integrationContextCertificateType;;Tipo di certificato
nagra.information.nc.nuid;;NUD
nagra.information.nc.prmaVersion;;Versione PRMA
nagra.information.nc.prmcVersion;;Versione PRMC
nagra.information.nuid;;NUID
nagra.information.projectInfo;;Info progetto
nagra.popups.connectionLost;;Errore di connessione. Vai su voda.it/vtvhelp
nagra.popups.defaultError;;Canale non incluso nell'offerta
nagra.popups.suspended;;Vodafone TV Box è stato sospeso
nagra.popups.uninitialized;;Vodafone TV Box non inizializzato
nagra.popups.unsubscribed;;Canale non incluso nella tua offerta
network.wifi.band.unit;;GHz
network.wifi.quality.good;;Connessione migliore
network.wifi.quality.incompatible;;Connessione scarsa
network.wifi.quality.sufficient;;Connessione sufficiente
networkAccessValidation.defaultErrorMessage;;Credenziali errate, impossibile connettersi alla rete selezionata. Ti chiediamo di riprovare.
notification.HDCPError.description;;Descrizione errore HDCP
notification.HDCPError.title;;Errore HDCP
notification.adultProgram.hidden.description;;Per guardare il contenuto, cambia le impostazioni della protezione bambino.
notification.adultProgram.hidden.title;;Programma protetto
notification.alexa.alert.description;;"Per disattivare l'avviso, semplicemente dì ""Alexa, stop"""
notification.alexa.alert.title;;Sveglia
notification.alexa.alexaNumberOfNotification.title;;Sono presenti notifiche di Alexa 
notification.alexa.apps.notAvailable;;Funzione non disponibile
notification.alexa.apps.wrongContext;;Funzione non disponibile
notification.alexa.listenToNotification.description;;"Prova a dire ""ascolta le notifiche"" per saperne di più."
notification.alexa.pressingVoiceButton.description;;"Premi il pulsante vocale e dì ""ascolta le notifiche"" per saperne di più."
notification.alexaAction.disabledInsideApps;;L'interfaccia vocale non è disponibile all'interno delle app.
notification.app.cts.token.error;;
notification.app.gdpr.disagree;;
notification.app.notSubscribed;;Non hai una sottoscrizione attiva per questa applicazione
notification.automaticRecordings.channelDisabled;;Attiva le Registrazioni Automatiche per questo canale
notification.backend.error;;Elaborazione richiesta... (SC402)
notification.bleRemotePairing.failed;;Associazione del telecomando non riuscita.
notification.bleRemotePairing.info;;Per utilizzare il controllo vocale, associa il tuo telecomando tenendo premuti i tasti 1 e 'Giallo' per almeno 5 secondi.
notification.bleRemotePairing.success;;Il telecomando è ora associato.
notification.bluetooth.connected;;Connessione Bluetooth
notification.bluetooth.disconnected;;Bluetooth scollegato
notification.bluetooth.fail;;Associazione fallita
notification.bluetooth.multiple.remove.subtitle;;
notification.bluetooth.noDevice;;Nessun nuovo dispositivo trovato
notification.bluetooth.rcu.connected;;Il telecomando è ora connesso in Bluetooth
notification.bluetooth.remove;;Rimuovi i dispositivi bluetooth
notification.bluetooth.remove.subtitle;; rimossi
notification.bluetooth.success;;Aggiunto con successo
notification.bluetooth.unsupportedRcu.description;;
notification.bluetooth.unsupportedRcu.title;;RCU non supportata
notification.buy.notPossible;;
notification.channel.liveApp;;Premi ch + o - sul telecomando per accedere a %1 APP
notification.channel.liveApp.redButton;;Premi il bottone ROSSO per aprire la app %1.
notification.drmUnavailable.description;;Nagra non è ancora pronta
notification.drmUnavailable.title;;DRM non disponibile
notification.episode.past;;"Contenuti disponibile nelle tue ""Registrazioni"""
notification.episode.scheduled;;Registrazione programmata
notification.episode.scheduledNew;;La serie %1 è stata programmata
notification.episode.start;;Registrazione in corso
notification.folder.confirm;;Conferma
notification.frequentlyAskedQuestions.fetch.error;;Impossibile visualizzare le Domande e risposte
notification.mcast.insufficient.bandwidth;;
notification.network.fallback;;
notification.network.fallback.Id;;
notification.network.noMuMimoEnabled;;
notification.network.notEnoughBandwidth;;Il tuo segnale Wi-Fi è debole, la qualità del servizio potrebbe non rispettare gli standard normali. Per risolvere questo problema vai su Impostazioni > Altre Impostazioni > Rete e seleziona una nuova rete.
notification.offline.error;;Nessuna connessione disponibile
notification.player.blackout.message1;;La visualizzazione di questo programma non è consentita per una limitazione di diritti televisivi. Torna più tardi per continuare la visione su questo canale.
notification.player.blackout.message2;;[SV003] La visualizzazione di questo programma non è consentita per una limitazione di diritti televisivi.<br/> Torna più tardi per continuare la visione su questo canale.
notification.player.concurrent;;Hai raggiunto il numero massimo di dispositivi
notification.player.noRights;;Non è possibile visualizzare il programma su più di 2 dispositivi [SB003]. Vai su voda.it/vtvhelp
notification.ppv.success;;Acquistato con successo
notification.privacy.fail.description;;Riprova dopo
notification.privacy.fail.title;;Errore privacy 
notification.programInfo.failure;;Impossibile visualizzare tutte le informazioni relative alla Serie TV
notification.programInfo.purchase.disclaimer;;L'acquisto verrà confermato con l'inserimento del PIN, dopodichè non sarà più possibile annullarlo
notification.programInfo.recording.noChannel;;Questa registrazione non corrisponde a nessun canale presente
notification.programInfo.rental.days.disclaimer;;Il noleggio per %1 giorni verrà confermato con l'inserimento del PIN, dopodichè non sarà più possibile annullarlo
notification.programInfo.rental.hour.disclaimer;;Il noleggio di %1h verrà confermato con l'inserimento del PIN, dopodichè non sarà più possibile annullarlo
notification.programInfo.rental.hours.disclaimer;;Potrai visualizzare il tuo noleggio %1h dopo l'inserimento del PIN
notification.programInfo.rental.month.disclaimer;;Il noleggio per %1 mesi verrà confermato con l'inserimento del PIN, dopodichè non sarà più possibile annullarlo
notification.programInfo.rental.months.disclaimer;;Il noleggio per %1 mesi verrà confermato con l'inserimento del PIN, dopodichè non sarà più possibile annullarlo
notification.programInfo.subscribe.disclaimer;;La tua sottoscrizione inizierà appena inserito il PIN
notification.recommendations.disabled;;Il motore di raccomandazioni è stato disabilitato.
notification.recommendations.enabled;;Il motore di raccomandazioni è ora attivo.
notification.recommendationsOptIn;;Se vuoi disabilitare il motore di raccomandazione vai in Impostazioni > Privacy > Motore di raccomandazione
notification.recommendationsOptOut;;Se vuoi disabilitare il motore di raccomandazione vai in Impostazioni > Impostazioni contenuti
notification.recording.cancel.failed;;Impossibile eliminare la registrazione
notification.recording.clash.multiple;;Sono stati rilevati alcuni conflitti di registrazione
notification.recording.clash.multiple.description;;Per risolverli premi %1 sul telecomando per andare su My TV / Registrazioni Programmate
notification.recording.clash.resolve;;Conflitto risolto
notification.recording.clash.resolve.description;;Descrizione del conflitto risolto
notification.recording.clash.single;;È stato rilevato un conflitto di registrazione
notification.recording.clash.single.description;;Per risolverlo premi %1 sul telecomando per andare su My TV / Registrazioni Programmate
notification.recording.delete.failed;;Impossibile eliminare la registrazione
notification.recording.description.deleteRecordings;;Eliminate. &1 registrazioni eliminate con successo.
notification.recording.fullCloudProtection;;Troppe registrazioni protette sul cloud
notification.recording.fullLocalProtection;;Troppe registrazioni locali protette
notification.recording.fullProtectionTitle;;Impossibile proteggere la registrazione
notification.recording.localNotPossible;;
notification.recording.past;;Contenuti  presto disponibili nelle tue registrazioni
notification.recording.scheduledNew;;La registrazione %1 è stata programmata
notification.recording.title.delete;;Cancella registrazioni 
notification.recordings.update;;Aggiornamento Vodafone TV
notification.remoteBooking.hddConnected.title;;
notification.remoteDiagnostics.speedTest.ongoing;;Lo speedtest è in corso, ti preghiamo di attendere.
notification.remotePairing.timeout;;
notification.rent.notPossible;;
notification.rollingBuffer.description;;
notification.rollingBuffer.title;;
notification.search.characterLimit.description;;
notification.search.characterLimit.title;;
notification.search.fail.description;;
notification.search.fail.title;;
notification.seriesInfo.fetchDataFailed;;Impossibile visualizzare le informazioni relative alla Serie TV. Verifica la tua connessione.
notification.seriesInfo.missingMetadata;;ID Serie non disponibile. Impossibile visualizzare le informazioni sul programma
notification.seriesRecording.alreadyScheduled;;Questo contenuto è già stato programmato per la registrazione. Per ulteriori opzioni seleziona questo contenuto cliccando OK
notification.seriesRecording.past;;Tutti gli episodi precedenti saranno a breve disponibili in MY TV- Registrazioni
notification.seriesRecording.pastNew;;Gli episodi precedenti saranno presto disponibili nelle Registrazioni
notification.soundbox.audio.off;;Uscita audio selezionata: nessuna
notification.soundbox.audio.stb;;Uscita audio selezionata: TV Box
notification.soundbox.audio.tv;;Uscita audio selezionata: TV
notification.soundbox.connected;;%1 connesso
notification.soundbox.description;;Vai su Impostazioni / Dispositivi Collegati / Assistenti Vocali per il controllo.
notification.soundbox.disconnected;;Non connesso
notification.subscribe.notPossible;;
notification.subscription.success;;Iscrizione effettuata
notification.timeout.error;;Elaborazione richiesta... (SC401)
notification.trickMode.notAllowed;;Trick Mode not allowed
notification.vodafoneNetworkLost.description;;Per utilizzare tutte le funzioni di Vodafone TV devi essere connesso alla tua rete Vodafone.
notification.vodafoneNetworkLost.title;;Errore di connessione
notification.voiceAction.appNonExistent;;Questa applicazione non supporta il controllo vocale
notification.voiceAction.appNotAvailable;;Il controllo vocale non è supportato da questa applicazione
notification.voiceAction.areaNonExistent;;Contenuto non trovato. Riprova a cercarlo.
notification.voiceAction.genericError;;Qualcosa è andato storto, ti chiediamo di riprovare
notification.voiceAction.keyPressedTooShort;;Non ho capito, Tieni premuto maggiormente il bottone del controllo vocale e ripeti
notification.voiceAction.kids.profileNotSelected;;Seleziona un profilo per utilizzare il controllo vocale.
notification.voiceAction.kids.screenNotAllowed;;Abilita il controllo vocale dalle impostazioni.
notification.voiceAction.misunderstanding;;Scusa non ho capito, puoi ripetere?
notification.voiceAction.noChannel;;Il canale %1 non esiste
notification.voiceAction.noChannelError;;Questo canale non esiste
notification.voiceAction.noChannelNumber;;Il numero di questo canale non esiste
notification.voiceAction.noResults;;Nessun risultato corrispondente, riprova
notification.voiceAction.notAllowedContent;;Ci scusiamo, non sei abilitato a vedere questo contenuto
notification.voiceAction.notAllowedInApp;;Azione non possibile con questa App
notification.voiceAction.notPossible;;Non è possibile proseguire con questa richiesta
notification.voiceAction.notSupportedInKids;;Non è possibile procedere con la richiesta nell'Area Kids.
notification.voiceAction.voiceASRFailure;;Non è stato possibile completare la tua richiesta, riprova.
notification.voiceAction.voiceToSearch;;Utilizza il controllo vocale per la ricerca dei contenuti
notifications.privacy.fail.title;;Impossibile accedere all'informativa/consenso privacy
optIn;;Attiva ora
pin.consecutiveDigitsError.popup.text;;
pin.consecutiveDigitsError.popup.title;;
pin.lockedPin.notification.description;;
pin.lockedPin.notification.title;;
pin.lockedPin.popup.text;;PIN non corretto inserito per tre volte di seguito<br>Puoi riprovare in %1
pin.lockedPin.popup.title;;Inserimento del PIN è bloccata per il prossimo %1<br><br>
pinEntry.adultPin;;Inserisci PIN
pinEntry.purchasePinCode;;Inserisci PIN
player.endOfBuffer.description;;Hai terminato la registrazione automatica
player.endOfBuffer.title;;Registrazione automatica terminata
player.feedback.remaining;;Rimanente
player.notification.cantRecoverMedia.description;;
player.notification.cantRecoverMedia.title;;
popup.gdpr.app.disagree;;
popups.buttons.continueWithoutRebooting;;Continua senza canali
popups.buttons.rebootStb;;Riavvia TV Box
popups.cecStandBy.message;;Il tuo TV Box sta per spegnersi. Se il tuo TV non si dovesse spegnere, controlla che non ci siano altri dispositivi HDMI ancora accesi e collegati o spegni il televisore.
popups.deepLinkError.button;;Ok
popups.deepLinkError.message;;Non è stato possibile completare l'azione. Riprova più tardi.
popups.deepLinkError.title;;Errore, riprova
popups.emptyChannelList.description;;Premere OK su 'Riavvia TV Box' per riavviare Vodafone TV e risolvere il problema. <br> Se si desidera procedere senza canali, premere OK su 'Continua senza canali'. Per risolvere il problema in un secondo momento, scollegare e ricollegare l'alimentatore.
popups.emptyChannelList.title;;Non è stato possibile caricare l'elenco completo dei canali
popups.error.folderWithIncorrectApp;;Errore
popups.howToSubscribe;;Il contenuto non è incluso nella tua offerta. Per attivarlo chiama il 190 o vai su vodafone.it nell'area Fai da te.
popups.networkValidation.buttons.retry;;Riprova
popups.networkValidation.misc;;Errore rilevato (errore: %1).
popups.networkValidation.title;;Validazione network fallita
popups.noInternetConnection.button;;Apri Impostazioni
popups.noInternetConnection.message;;Verifica la connessione internet. Vai su voda.it/vtvhelp
popups.noInternetConnection.title;;Connessione internet non disponibile
popups.notEnoughBandwidth.buttons.retry;;Riprova
popups.notEnoughBandwidth.message;;Per risolvere il problema, premere Riprova e controllare il router, avvicinandolo al Vodafone TV box o eliminando qualsiasi elemento di blocco intorno ad essa. Se l'errore persiste chiamare il Servizio Clienti (al numero 0284594650).
popups.notEnoughBandwidth.title;;Errore di connessione relativo alla banda Wi-Fi, riprova.
popups.powerSaving.buttons.closeThirdAppsAndAdjust;;Chiudi l'applicazione e cambia la modalita' di standby
popups.speedTest.misc;;È in corso lo speedtest. Desideri interromperlo?
popups.subscriptionFiltering.buttons.cancel;;No
popups.subscriptionFiltering.buttons.showApp;;Programma TV %1
popups.subscriptionFiltering.message;;Vuoi vedere il contenuto %1 nell'area on demand e fra i risultati della search?
popups.subscriptionFiltering.title;;Ci auguriamo che ti sia piaciuta questa applicazione.
popups.update.failed;;Aggiornamento software fallito. Errore %1
popups.update.success;;Il tuo Vodafone TV Box è aggiornato.
programInfo.actionButtons.confirm;;Conferma
programInfo.actionButtons.from;;Da
programInfo.actionButtons.listen;;Ascolta
programInfo.actionButtons.noFolderSubscribe;;Attiva
programInfo.actionButtons.own;;Acquista
programInfo.actionButtons.ownAsPPVLabel;;Acquista %1
programInfo.actionButtons.ownLabel;;Acquista %1
programInfo.actionButtons.rentAsPPVLabel;;Noleggia %1
programInfo.actionButtons.restartLiveOn;;Ricomincia la diretta
programInfo.actionButtons.resume;;Riprendi
programInfo.actionButtons.subscribeLabel;;Attiva
programInfo.actionButtons.subscribePrice;;Sottoscrivi %1
programInfo.actionButtons.subscribeSelfcare;;Attiva
programInfo.actionButtons.subscribedLabel;;Attiva
programInfo.actionButtons.trailers;;Trailers
programInfo.actionButtons.watchBundle;;Guarda tutti
programInfo.actionButtons.watchBundleIn;;Guarda tutto in %1
programInfo.actionButtons.watchCatchupOn;;Guarda su
programInfo.actionButtons.watchLiveOn;;Guarda su
programInfo.actionButtons.watchOn;;Guarda su 
programInfo.actionButtons.watchSubscriptionOn;;Guarda %1 su
programInfo.actors.label;;Cast
programInfo.badging.availableToRent;;Noleggia 
programInfo.badging.availableToRentAndExpiration;;
programInfo.bundle.partOf;;Parte di %1
programInfo.catchupExpiresOn;;Scade tra %1
programInfo.director.label;;Regista
programInfo.newPI.catchupAiredOn;;
programInfo.newPI.catchupExpiresOn;;
programInfo.newPI.recordedOn;;
programInfo.newPi.recordingServiceName;;
programInfo.partialRecordingExpiresOn;;Registrazione parziale in scadenza tra %1
programInfo.purchase.disclaimer;;Informativa in caso di acquisto di un programma
programInfo.recordingExpiresOn;;La registrazione scade tra %1
programInfo.series.special;;Speciale
rails.availableToOwn;;Disponibile all'acquisto
rails.defaultGenreLabel;;Varie
rails.relatedfrom;;Contenuti correlati a %1
rails.relatedto;;Contenuti simili a  %1
rails.rollingBuffer.title.dayOfTheMonthDateFormat;;ddd dd mmm
rails.rollingBuffer.title.today;;Oggi
rails.rollingBuffer.title.today-1;;Ieri
rails.rollingBuffer.title.today-2;;2 giorni fa
rails.rollingBuffer.title.today-3;;3 giorni fa
rails.rollingBuffer.title.today-4;;4 giorni fa
rails.rollingBuffer.title.today-5;;5 giorni fa
rails.rollingBuffer.title.today-6;;6 giorni fa
rails.rollingBuffer.title.today-7;;7 giorni fa
rails.subscription;;Sottoscrizioni
rails.title.morefrom;;%1
recordingCancel.cancelSeries;;Cancella serie
recordingCancel.subtitle;;Vuoi cancellare l'intera serie?
recordingCancel.title;;Registrazione cancellata
recordings.update.please.wait;;
relatedbyactor;;Altri titoli con %1
relatedbydirector;;Diretti da %1
relatedbygenre;;Altri titoli
relatedto;;Contenuti simili a %1
sdk7.browse.myHome.aboutMyHome;;
sdk7.browse.myHome.breadcrumbTitle;;
sdk7.browse.myHome.button.browseOnDemand;;Ricerca On Demand
sdk7.browse.myHome.button.openTvGuide;;Apri Guida TV
sdk7.browse.myHome.contentInfo;;Trova qui le tue registrazioni e i preferiti. Cerca nel catalogo On Demand e nella Guida TV contenuti da registrare o salvare
sdk7.countrySelection.text;;
sdk7.countrySelection.title;;Selezionare il proprio paese
sdk7.epg.focusedTile.remaining;;%1 rimanente
sdk7.lockedPin.modal.subtitle;;Inserisci il tuo PIN
sdk7.lockedPin.modal.title;;Bloccato con PIN
sdk7.menu.tab.onTv;;
sdk7.miniProgramInfo.remaining;;
sdk7.miniProgramInfo.showMore;;Più info
sdk7.moreBucket.all;;
sdk7.pinEntry.helpLabel;;Problemi con il PIN?
sdk7.pinEntry.success;;Evvai, successo!
sdk7.pinEntry.success.subtitle;;%1 sbloccato
sdk7.pinEntry.unSuccessful;;PIN errato
sdk7.pinEntry.unSuccessful.subtitle;;Riprova di nuovo per sbloccare %1
sdk7.pinEntry.verifying;;Verificando...
sdk7.programInfo.actionButtons.wishlist.add;;
sdk7.programInfo.actionButtons.wishlist.remove;;
sdk7.programInfo.showInfo;;
sdk7.search.noResults;;
sdk7.search.searchResults;;
sdk7.serieInfo.episodePrefix;;Episodio %1
sdk7.serieInfo.episodeShortPrefix;;E
sdk7.serieInfo.seasonShortPrefix;;S
sdk7.settings;;Impostazioni
sdk7.settings.changePin.confirm;;Conferma
sdk7.settings.changePin.confirmNewPin;;Conferma il tuo nuovo PIN
sdk7.settings.changePin.enterNewPin;;Inserisci il tuo nuovo PIN
sdk7.settings.changePin.hideNewPin;;Nascondi nuovo PIN
sdk7.settings.changePin.masterPin;;
sdk7.settings.changePin.pinChanged.failed;;Modifica PIN non riuscita
sdk7.settings.changePin.pinChanged.successfully;;Il tuo PIN è stato modificato
sdk7.settings.changePin.pinChanged.tryAgain;;Premi OK per riprovare
sdk7.settings.changePin.secondaryString;;
sdk7.settings.changePin.showNewPin;;Mostra nuovo PIN
sdk7.settings.changePin.title;;Cambia PIN
sdk7.settings.hiddenChannels;;Canali nascosti
sdk7.settings.parentalControls.adultContent;;Contenuto per adulti
sdk7.settings.parentalControls.ageRating.pinModal.event;;Classificazione per età
sdk7.settings.parentalControls.ageRating.screen.description;;
sdk7.settings.parentalControls.ageRating.screen.secondary.description;;
sdk7.settings.parentalPurchases.locked;;Il PIN per acquistare è abilitato. Premere OK per disabilitarlo.
sdk7.settings.parentalPurchases.locked.desc;;
sdk7.settings.parentalPurchases.purchasePinState;;Stato del PIN di acquisto
sdk7.settings.parentalPurchases.unlocked;;
sdk7.settings.parentalPurchases.unlocked.desc;;
sdk7.settings.pinProtection.desc;;
sdk7.settings.pinProtection.isActivated;;Il PIN è attivo e la Protezione Bambino è abilitato. Premere OK per disattivare.
sdk7.settings.pinProtection.isDeactivated;;Il PIN è disattivato e la Protezione Bambino è disabilitato. Premere OK per attivare.
sdk7.settings.pinProtection.pinConfirmationModal.message.activatePin;;Sei sicuro di voler attivare il PIN?
sdk7.settings.pinProtection.pinConfirmationModal.message.deactivatePin;;Sei sicuro di voler disattivare il PIN?
sdk7.settings.pinProtection.pinConfirmationModal.title.activatePin;;Attiva il PIN
sdk7.settings.pinProtection.pinConfirmationModal.title.deactivatePin;;Disattiva PIN
sdk7.settings.pinProtection.pinProtection;;Protezione PIN
sdk7.settings.premiumChannels.hidden;;
sdk7.settings.premiumChannels.intro;;
sdk7.settings.premiumChannels.visible;;
sdk7.settings.privacy.and.terms;;Privacy e Condizioni
sdk7.settings.privacy.consent.disagree.text;;
sdk7.settings.privacy.consent.disagree.title;;Sei sicuro?
sdk7.settings.vodafoneTV;;Vodafone TV
sdk7.smartTV.firstInstall.login.error.title;;Problemi con l'account?
sdk7.watch.timestamp.live;;
search.recentSearches;;Ricerche recenti
search.recommendations;;Suggeriti per te
searchRecommendations1;;Tutti
searchRecommendations2;;Ora in onda
searchRecommendations3;;Andati in onda
serieInfo.episodeShort;;E
serieInfo.seasonPrefix;;Stagione %1
serieInfo.seasonShort;;S
settings.accessibility.audioLanguage.description;;Clicca su/giù per selezionare una lingua e premere OK per confermare la selezione.
settings.accessibility.audioLanguage.description.selected;;La lingua audio è impostata su %1. Se disponibile verrà riprodotto automaticamente.
settings.accessibility.help;;Aiuto
settings.accessibility.help.description;;Per maggiori informazioni sui servizi di accesibilità vai su voda.it/vtvhelp
settings.alexa;;Amazon Alexa
settings.alexa.deviceName;;Nome del dispositivo: 
settings.alexa.status.finished;;Terminato
settings.ast.astDisableVisualScrubber;;
settings.ast.astOverrideShakaSettings;;
settings.ast.astSettings;;
settings.ast.astShowBackgroundProcess;;
settings.ast.overrideShakaSettings.items.bufferingGoal;;
settings.ast.overrideShakaSettings.items.defaultBandwidthEstimate;;
settings.ast.overrideShakaSettings.items.defaultPresentationDelay;;
settings.ast.overrideShakaSettings.items.rebufferingGoal;;
settings.ast.overrideShakaSettings.resetButton;;Ripristina configurazioni
settings.ast.overrideShakaSettings.title;;
settings.audioAndVisual.audioOutput.auto;;Auto
settings.audioAndVisual.audioOutput.resetVolume;;Reset volume
settings.audioAndVisual.audioOutput.resetVolumeInfo;;Il reset imposterà il volume del TV Box al massimo livello. <br/>Ti consigliamo di utilizzare questa funzione se hai associato il telecomando al Vodafone TV Box e hai riscontrato problemi con il volume.
settings.audioAndVisual.audioSettings;;Audio
settings.audioAndVisual.audioSettings.hdmi;;HDMI
settings.audioAndVisual.audioSettings.localSpeaker;;
settings.audioAndVisual.soundMode;;Profilo Audio
settings.audioAndVisual.soundMode.automatic;;Automatico
settings.audioAndVisual.soundMode.game;;Videogioco
settings.audioAndVisual.soundMode.movie;;Film
settings.audioAndVisual.soundMode.music;;Musica
settings.audioAndVisual.soundMode.music.fidelity;;
settings.audioAndVisual.soundMode.music.loud;;
settings.audioAndVisual.soundMode.music.surround;;Surround
settings.audioAndVisual.soundMode.night;;Notte
settings.audioAndVisual.soundMode.off;;Off
settings.audioAndVisual.soundMode.sport;;Sport
settings.audioAndVisual.soundMode.voice;;Controllo vocale
settings.audioAndVisual.widescreen;;Formato 4:3
settings.audioAndVisual.widescreen.fullmode;;Formato panoramico
settings.audioAndVisual.widescreen.original;;Formato originale
settings.audioAndVisual.widescreen.zoom;;Formato zoom
settings.audioProfile.description;;
settings.autoDelete;;La cancellazione automatica delle registrazioni inizierà con la prossima registrazione programmata. Per evitare la cancellazione, acquista spazio di archiviazione aggiuntivo.
settings.automaticRecordings.description;;Con Vodafone TV puoi guardare i programmi andati in onda negli ultimi 7 giorni su una selezione di canali. Accedi alla Guida TV e, se il programma che ti interessa ha l'icona con la freccia circolare, potrai iniziare subito a guardarlo
settings.automaticRecordings.title;;Registrazioni automatiche
settings.bluetooth;;Bluetooth
settings.bluetooth.addDevice;;Aggiungi dispositivo
settings.bluetooth.autoConnect;;
settings.bluetooth.connect;;Collega un dispositivo
settings.bluetooth.connected;;Connesso
settings.bluetooth.connected.description;;"Sposta su/giù per selezionare un dispositivo. Premi OK per connetterlo o scollegarlo. Non riesci a trovarlo? Vai su ""Aggiungi dispositivo""."
settings.bluetooth.connecting;;Connettendo...
settings.bluetooth.description;;L'elenco dei dispositivi bluetooth è vuoto. <br> Aggiungi prima un dispositivo per collegarlo.
settings.bluetooth.devices;;I miei dispositivi
settings.bluetooth.disconnecting;;Disconnettendo...
settings.bluetooth.otherDevices;;Altri dispositivi
settings.bluetooth.pairing;;Attivazione Bluetooth
settings.bluetooth.pairingPopup.description;;"Controlla il tuo dispositivo per confermare. Successivamente sarà disponibile ne ""I miei dispositivi""."
settings.bluetooth.pairingPopup.title;;Aggiunto 
settings.bluetooth.pairingScreen.description;;Sposta su/giù per selezionare un dispositivo. Premi OK per aggiungerlo all'elenco.
settings.bluetooth.refreshButton.text;;Ricarica
settings.bluetooth.removeDevice;;Rimuovi il dispositivo
settings.bluetooth.removeScreen.description;;"Seleziona uno o più dispositivi con l' ""OK"" sul telecomando. <br/> Conferma la selezione per rimuoverli dall'elenco."
settings.bluetooth.screen.description;;È possibile collegare il dispositivo tramite Bluetooth per ascoltare la musica.
settings.bluetooth.screen.title;;Connessione Bluetooth
settings.bluetooth.searching;;
settings.boxSpace;;Registrazioni
settings.cec.buttons.paired;;Associato
settings.cec.buttons.unpaired;;Associa ora
settings.cec.paired.description;;Il telecomando è associato e puoi controllare il TV Box.<br>Se non vuoi controllare il TV Box dal telecomando, disassocialo da qui.
settings.cec.paired.subtitle;;Disassocia il controllo delle impostazioni del TV Box
settings.cec.title;;Controllo impostazioni TV Box
