key;en-GROUP;el-GR-x-GR text
settings.informations.imei;;IMEI
settings.informations.kdsn;;KDSN
settings.informations.lcn;;LCN
settings.informations.netflixEsn;;Netflix ESN
settings.informations.nid;;Αναγνωριστικό δικτύου
settings.informations.onid;;Αναγνωριστικό δικτύου
settings.informations.otaUpdateProgress;;OTA ενημέρωση προόδου.
settings.informations.ott;;OTT
settings.informations.packetLoss;;Απώλεια πακέτων
settings.informations.sdkVersion;;Έκδοση SDK
settings.informations.sid;;Αναγνωριστικό υπηρεσίας
settings.informations.signalQuality;;Ποιότητα
settings.informations.smartTvVersion;;Έκδοση αποκωδικοποιητή
settings.informations.snr;;SNR
settings.informations.tsid;;Transport Stream ID
settings.informations.updateStatus.failed;;%1: Η ενημέρωση απέτυχε
settings.informations.updateStatus.success;;Επιτυχία
settings.informations.uri;;URI
settings.informations.wireless.quality;;settings.informations.wireless.quality
settings.language.audioLanguage;;Γλώσσα ήχου
settings.language.systemLanguage;;Γλώσσα συστήματος
settings.language.systemLanguage.info;;Με την Αυτόματη επιλογή, ο αποκωδικοποιητής θα χρησιμοποιήσει τη γλώσσα της Smart TV ως Γλώσσα Συστήματος, εφόσον αυτή η γλώσσα υποστηρίζεται από τον αποκωδικοποιητή.
settings.languageAndAccessibility;;Γλώσσα & Πρόσβαση
settings.languageAndAccessibility.audioLanguage;;Ήχος
settings.languageAndAccessibility.subtitlesPreference;;Υπότιτλοι
settings.localRecordings;;Εγγραφές αποθηκευμένες τοπικά
settings.localRecordings.error;;Παρουσιάστηκε πρόβλημα κατά την ανάκτηση πληροφοριών από το δίσκο
settings.localRecordings.reformatDisk.notification.helpMessage;;Λάβετε υπόψη ότι όλες οι τοπικές εγγραφές θα χαθούν. <br/> Δεν μπορείτε να το αναιρέσετε!
settings.localRecordings.reformatDisk.notification.offlineSubtitle;;Για να γίνει φορμάτ στον δίσκο απαιτείται σύνδεση με το internet
settings.localRecordings.reformatDisk.notification.offlineTitle;;Φορμάτ δίσκου
settings.localRecordings.reformatDisk.notification.title;;Για επαναδιαμόρφωση εισάγετε το PIN σας.
settings.logger;;Logger
settings.logger.loggerIp;;Logger endpoint
settings.logger.loggerModule;;Logger Module
settings.logger.loggerType;;Logger Type
settings.loggerIp.description;;Θα σταλούν αρχεία καταγραφής για ανάλυση στην πιο κάτω IP στην πόρτα 8080
settings.loggerIp.subtitle;;Εισάγετε την IP σας
settings.loggerIp.title;;IP
settings.loggerModule.description;;Η ενεργοποίηση της λειτουργία καταγραφής θα επιτρέψει την καταγραφή πιθανόν σφαλμάτων.<br/>Υπάρχει περίπτωση η απόκρισή του αποκωδικοποιητή να γίνει πιο αργή όσο είναι ανοιχτή αυτή η λειτουργεία.
settings.loggerModule.subtitle;;Ενεργοποιήστε την λειτουργία καταγραφής που χρειάζεστε
settings.loggerModule.title;;Ενεργοποίηση αρχείου καταγραφής
settings.loggerType.description;;Υπάρχουν τρεις επιλογές:- Browser: Μεταφορά στο debugger του browser<br/>- Sagemcom: Αποστολή των αρχείων καταγραφής στον κατασκευαστή (Μόνο για τον αποκωδικοποιητή)<br/>- Websocket: Αποστολή των αρχείων καταγραφής μέσω websocket σε μια ip που θα ορίσετε<br/>H απόκριση του αποκωδικοποιητή ενδέχεται να γίνει πιο αργή κατά την διάρκεια της λειτουργείας
settings.loggerType.subtitle;;Επιλέξτε που να αποθηκευτεί το αρχείο
settings.loggerType.title;;Ενεργοποίηση της λειτουργείας καταγραφής
settings.network.channelScan.pleaseWait;;Αναζήτηση καναλιών , παρακαλώ περιμένετε
settings.parentalControls.managePin;;Διαχείριση PIN
settings.parentalControls.options;;Διαχείριση καταλληλότητας
settings.parentalControls.purchasePin;;Αγορές
settings.powerSaving.autoStandbyTime.2h;;2 ώρες
settings.powerSaving.autoStandbyTime.4h;;4 ώρες
settings.powerSaving.autoStandbyTime.8h;;8 ώρες
settings.powerSaving.quickBoot.description;;Εάν θέλετε να χρησιμοποιήσετε το Φωνητικό έλεγχο ή να παίξετε μουσική από Bluetooth ή το Spotify όταν ο αποκωδικοποιητής είναι σε αναμονή, αυτή η επιλογή πρέπει να είναι ΑΝΕΝΕΡΓΗ. <br><br> Διαφορετικά, θα μπορείτε να το κάνετε μόνο για μικρό χρονικό διάστημα μετά την απενεργοποίηση της συσκευής.
settings.powerSaving.remoteBooking.description;;Για λιγότερη κατανάλωση ενέργειας κατά την αναμονή της συσκευής, επιλέξτε εξοικονόμηση ενέργειας. Όμως με αυτή την επιλογή ο αποκωδικοποιητής θα χρειάζεται περισσότερο χρόνο για να εκκινήσει και δεν θα λειτουργεί η απομακρυσμένη εγγραφή (από κινητό)
settings.powerSaving.smartStandby.active;;Ενεργός
settings.powerSaving.smartStandby.active.description;;Όταν ο αποκωδικοποιητής και η τηλεόρασή σας είναι απενεργοποιημένα, μπορείτε να παίξετε μουσική μέσω Bluetooth, να χρησιμοποιήστε το Spotify Connect και το φωνητικό έλεγχο.
settings.powerSaving.smartStandby.energySaving;;Εξοικονόμησης ενέργειας
settings.powerSaving.smartStandby.energySaving.description;;Επιλέξτε εξοικονόμηση ενέργειας για μικρότερη κατανάλωση. Η εκκίνηση του αποκωδικοποιητή θα είναι πιο αργή και δεν θα μπορείτε να χρησιμοποιήσετε τις λειτουργίες Active / Smart Standby.
settings.powerSaving.smartStandby.smartStandby;;Έξυπνη αναμονή
settings.powerSaving.smartStandby.smartStandby.description;;Όταν ο αποκωδικοποιητής και η τηλεόρασή σας είναι απενεργοποιημένα, μπορείτε να κάνετε ζεύξη παίξετε μουσική μέσω Bluetooth, να χρησιμοποιήστε το Spotify Connect και το φωνητικό έλεγχο. <br/>Αυτή η επιλογή επιτρέπει όλες οι λειτουργίες να είναι διαθέσιμες όταν τις χρειάζεστε περισσότερο και να εξοικονομεί ενέργεια μεταξύ 1-6 π.μ.
settings.privacy;;Προστασία προσωπικών δεδομένων
settings.privacy.consent;;Συγκατάθεση απορρήτου
settings.privacy.notice;;Πολιτική Απορρήτου
settings.privacyDisclaimer;;Πολιτική απορρήτου
settings.privacyDisclaimer.privacy;;Πολιτική απορρήτου Vodafone TV
settings.privacyDisclaimerPageTitle;;Πολιτική απορρήτου Vodafone TV
settings.purchase.errorTurnOn;;Για να ενεργοποιήσετε το PIN αγορών, πρέπει πρώτα να ενεργοποιηθεί το PIN γονικού ελέγχου.
settings.purchase.turnOff;;Απενεργοποίηση
settings.purchase.turnOn;;PIN ενεργοποιημένο
settings.purchase.turnedOff;;Aπενεργοποιημένο
settings.purchase.turnedOn;;PIN ενεργοποιημένο
settings.purchasePin;;PIN ενοικιάσεων
settings.recommendations;;Προτεινόμενα
settings.recommendations.off;;Απενεργοποίηση
settings.recommendations.on;;Ενεργοποίηση
settings.recording.padding.fifteen;;+15 λεπτά
settings.recording.padding.five;;+5 λεπτά
settings.recording.padding.ten;;+10 λεπτά
settings.recording.setPaddings.noPadding;;Πραγματοποίηση εγγραφής σύμφωνα με στην έναρξη στο πρόγραμμα
settings.recordings.automaticRecordings;;Αυτόματες εγγραφές
settings.recordings.boxSpaceLow;;Έχετε χαμηλή χωρητικότητα αποθηκευτικού χώρου
settings.recordings.buyMoreStorage;;Αγορά περισσότερου αποθηκευτικού χώρου
settings.recordings.buyStorage;;Αγορά αποθηκευτικού χώρου
settings.recordings.ejectDisk;;Εξαγωγή δίσκου
settings.recordings.filterContent;;Φιλτράρισμα περιεχομένου
settings.recordings.manage;;Διαχείριση εγγραφών
settings.recordings.padding.none;;Δεν υπάρχει επένδυση
settings.recordings.recommendationsOptOut;;Δεν θέλω να λαμβάνω προτάσεις
settings.recordings.reformatDisk;;Αναδιάρθρωση δίσκου
settings.recordings.remoteBooking;;Απομακρυσμένες εγγραφές
settings.recordings.setPadding;;Ρυθμίστε την επένδυση
settings.recordings.setPadding.description;;Προσθέστε επένδυση στην αρχή και στο τέλος των εγγραφών σας
settings.recordings.setPadding.title;;Ρυθμίστε την επένδυση
settings.recordings.subscribedChannels;;Εμφάνιση των συνδρομητικών καναλιών
settings.remote.buttons.back;;Ακύρωση
settings.remote.buttons.green;;Πράσινο
settings.remote.buttons.info;;Πληροφορίες
settings.remote.buttons.paired;;Συγχρονισμένο
settings.remote.buttons.tv;;Τηλεχειριστήριο
settings.remote.buttons.unpaired;;Δεν είναι συγχρονισμένο
settings.remote.buttons.voice;;Μάθετε για την λειτουργία φωνής.
settings.remote.connectionType.BLE;;Bluetooth
settings.remote.info.IRCodesTableDBVersion;;";"
settings.remote.info.batteryLevelGood;;ΚΑΛΗ
settings.remote.info.batteryLevelLow;;ΧΑΜΗΛΗ
settings.remote.info.batteryStatus.button;;Επίπεδο Μπαταρίας
settings.remote.info.batteryStatus.subtitle;;Επίπεδο Μπαταρίας
settings.remote.info.bleConnection.button;;Σύνδεση Bluetooth
settings.remote.info.bluetooth;;Bluetooth<br><br>
settings.remote.info.buttons.firmware.button;;Λογισμικό
settings.remote.info.connectivityStatus.button;;Κατάσταση σύνδεσης
settings.remote.info.connectivityStatus.subtitle;;Κατάσταση σύνδεσης
settings.remote.info.done.button;;Ολοκληρώθηκε
settings.remote.info.firmware.button;;Έκδοση
settings.remote.info.firmware.subtitle;;Λογισμικό
settings.remote.info.hardwareVersion;;Έκδοση υλικού
settings.remote.info.infrared;;Το τηλεχειριστήριο χρησιμοποιεί υπέρυθρες για τον έλεγχο του αποκωδικοποιητή. 
settings.remote.info.lastDownloadDateFirmware;;Ημερομηνία τελευταίας λήψης λογισμικού.
settings.remote.info.macAddress;;RCU MAC Address:
settings.remote.info.manufacturingDate;;Ημερομηνία κατασκευής
settings.remote.info.productNumber;;Αριθμός προϊόντος
settings.remote.info.radioFrequency;;Το τηλεχειριστήριο χρησιμοποιεί υπέρυθρες %1.<br><br>Για αλλαγή σύνδεσης σε bluetooth, πιέστε το κίτρινο κουμπί και το 3.
settings.remote.info.remoteSerialNumber;;Remote serial number
settings.remote.info.remoteVersion.button;;Λογισμικό
settings.remote.info.remoteVersion.subtitle;;Έκδοση
settings.remote.info.serialNumber.button;;Σειριακός αριθμός
settings.remote.info.serialNumber.subtitle;;Σειριακός αριθμός
settings.remote.info.softwareVersion;;Λογισμικό
settings.remote.info.title;;Πληροφορίες
settings.remote.info.version;;Έκδοση
settings.remote.paired.descriptionBle;;Το τηλεχειριστήριο σας έχει συγχρονίσει
settings.remote.paired.descriptionIrRf;;Το τηλεχειριστήριο σας έχει τώρα συγχρονιστεί για καλύτερη απόδοση
settings.remote.paired.subtitle;;Σύνδεση τηλεχειριστηρίου
settings.remote.remoteStatus;;Κατάσταση τηλεχειριστηρίου
settings.remote.retry.descriptionBle;;Ο συγχρονισμός απέτυχε. Παρακαλώ πατήστε το κίτρινο πλήκτρο και το 3 στο τηλεχειριστήριο σας για πέντε δευτερόλεπτα.
settings.remote.retry.descriptionIrRf;;Ο συγχρονισμός απέτυχε. Παρακαλώ πατήστε το κίτρινο πλήκτρο και το 3 στο τηλεχειριστήριο σας για πέντε δευτερόλεπτα.
settings.remote.retry.subtitle;;Συγχρονισμός τηλεχειριστηρίου
settings.remote.title;;Κατάσταση σύνδεσης
settings.remote.tvControls;;Ρυθμίσεις τηλεόρασης
settings.remote.unpaired.descriptionBle;;Το remote μπορεί να συνδεθεί με Bluetooth για επικοινωνία με τον αποκωδικοποιητή.<br><br>Για την λειτουργία Bluetooth πιέσετε ταυτόχρονα και για λίγα δευτερόλεπτα το κίτρινο κουμπί σε συνδυασμό με το πλήκτρο 3.
settings.remote.unpaired.descriptionIrRf;;Συγχρονίστε το τηλεχειριστήριο σας με RF για καλύτερη απόδοση.<br><br>Για να το συγχρονίσετε πιέστε το κίτρινο πλήκτρο και το 3 για πέντε δευτερόλεπτα.
settings.remote.unpaired.subtitle;;Συγχρονισμός τηλεχειριστηρίου
settings.remoteBooking.button.standbyOptions;;Επιλογές αναμονής
settings.remoteBooking.screen.text;;"Για να προγραματιστεί μια απομακρυσμένη εγγραφή (από το κινητό) η επιλογή της αναμονής της συσκευής πρέπει να είναι ""Ενεργός"".<br><br>Για αλλαγή πλοηγηθείτε στις ρυθμίσεις-Αναμονή-Επιλογές Αναμονής"
settings.remoteBooking.screen.title;;Απομακρυσμένες εγγραφές
settings.remoteControl;;Ρυθμίσεις τηλεχειριστηρίου
settings.selfDiagnostics.button.internetConnection;;Δίκτυο
settings.selfDiagnostics.button.localStorage;;Αποθηκευτικός χώρος
settings.selfDiagnostics.button.networkConnection;;Σύνδεση δικτύου
settings.selfDiagnostics.button.remote;;Τηλεχειριστήριο
settings.selfDiagnostics.button.softwareUpdates;;Αναβαθμίσεις λογισμικού
settings.selfDiagnostics.button.tvChannels;;Κανάλια τηλεόρασης
settings.selfDiagnostics.issuesTable.message.sdi01.01;;Δεν υπάρχει σύνδεση μέσω LAN ή Wi-Fi. Παρακαλώ ελέγξτε το καλώδιο και τις ρυθμίσεις δικτύου. 
settings.selfDiagnostics.issuesTable.message.sdi01.02;;Το Vodafone TV δεν μπορεί να πάρει διεύθυνση IP. Παρακαλώ ελέγξτε τις ρυθμίσεις δικτύου και κάντε επανεκκίνηση στο ρούτερ και το Vodafone TV. 
settings.selfDiagnostics.issuesTable.message.sdi01.03;;Η ισχύς του σήματος Wifi είναι χαμηλή. Παρακαλώ συνδεθείτε μέσω καλωδίου ή μεταφέρετε τον ρούτερ πιο κοντά στο Vodafone TV. 
settings.selfDiagnostics.issuesTable.message.sdi02.01;;Αδυναμία σύνδεσης στο διαδίκτυο. Εάν αντιμετωπίζετε το ίδιο πρόβλημα και με άλλες συσκευές που είναι συνδεδεμένες στο ίδιο δίκτυο, τότε υπάρχει γενικό πρόβλημα με το internet. <br />Αν αντιμετωπίζετε πρόβλημα μόνο με το Vodafone TV, δοκιμάστε να επανεκκινήσετε τη συσκευή Vodafone TV. Εάν αντιμετωπίζετε ακόμη πρόβλημα, επικοινωνήστε με τον ToBi στο vodafone.gr
settings.selfDiagnostics.issuesTable.message.sdi02.02;;Το Vodafone TV είναι προσωρινά μη διαθέσιμο. Παρακαλώ επισκεφθείτε την ιστοσελίδα μας για περισσότερες πληροφορίες. 
settings.selfDiagnostics.issuesTable.message.sdi03.01;;Δεν έχει συνδεθεί καλώδιο κεραίας. Παρακαλώ ελέγξτε αν έχει συνδεθεί καλώδιο κεραίας. 
settings.selfDiagnostics.issuesTable.message.sdi03.02;;Η στάθμη σήματος είναι χαμηλή. Παρακαλώ ελέγξτε τη σύνδεση με την κεραία και δοκιμάστε ξανά. 
settings.selfDiagnostics.issuesTable.message.sdi03.03;;Η ταχύτητα της σύνδεσης δεν επαρκεί για την σωστή λειτουργία του Vodafone TV. Στην περίπτωση που αντιμετωπίζετε πρόβλημα με την ποιότητα των βίντεο βεβαιωθείτε ότι δεν χρησιμοποιείτε την σύνδεση σας για άλλη χρήση (π.χ. παρακολουθείτε περισσότερα από ένα βίντεο ή κατεβάζετε μεγάλα αρχεία).<br/> 
settings.selfDiagnostics.issuesTable.message.sdi04.01;;Η μπαταρία του τηλεχειριστηρίου εξαντλείται. Παρακαλώ αντικαταστήστε τις μπαταρίες. 
settings.selfDiagnostics.issuesTable.message.sdi04.02;;Όταν συγχρονίσετε το τηλεχειριστήριο σας με το Vodafone TV, δεν θα χρειάζεται να στοχεύετε το Vodafone TV.<br />Για να επωφεληθείτε από αυτό, συγχρονίστε το τηλεχειριστήριο σας πηγαίνοντας στις ρυθμίσεις> περισσότερες ρυθμίσεις> τηλεχειριστήριο> συγχρονισμός τηλεχειριστηρίου.
settings.selfDiagnostics.issuesTable.message.sdi05.01;;Υπάρχουν διαθέσιμες ενημερώσεις για την συσκευή σας. 
settings.selfDiagnostics.issuesTable.message.sdi06.01;;Υπάρχει πρόβλημα στον αποθηκευτικό χώρο. <br/>Παρακαλώ κάντε επανεκκίνηση στο Vodafone TV ή επικοινωνήστε με τον ToBi στο www.vodafone.gr
settings.selfDiagnostics.issuesTable.title.sdi01.01;;Δεν υπάρχει σύνδεση δικτύου
settings.selfDiagnostics.issuesTable.title.sdi01.02;;Δεν υπάρχει διεύθυνση IP
settings.selfDiagnostics.issuesTable.title.sdi01.03;;Ασθενές σήμα Wifi
settings.selfDiagnostics.issuesTable.title.sdi02.01;;Αδυναμία σύνδεσης στο διαδίκτυο
settings.selfDiagnostics.issuesTable.title.sdi02.02;;Αδυναμία σύνδεσης με την Vodafone
settings.selfDiagnostics.issuesTable.title.sdi03.01;;Δεν έχετε συνδέσει το καλώδιο της κεραίας
settings.selfDiagnostics.issuesTable.title.sdi03.02;;Η στάθμη σήματος DTT είναι χαμηλή
settings.selfDiagnostics.issuesTable.title.sdi03.03;;Η σύνδεση με το διαδίκτυο δεν επαρκεί
settings.selfDiagnostics.issuesTable.title.sdi04.01;;Η μπαταρία του τηλεχειριστηρίου εξαντλείται
settings.selfDiagnostics.issuesTable.title.sdi04.02;;Συνδέστε το τηλεχειριστήριο με το Vodafone TV.
settings.selfDiagnostics.issuesTable.title.sdi05.01;;Διαθέσιμες ενημερώσεις
settings.selfDiagnostics.issuesTable.title.sdi06.01;;Δεν είναι δυνατή η πρόσβαση στον αποθηκευτικό χώρο.
settings.selfDiagnostics.noErrors;;Δεν βρέθηκε πρόβλημα στην υπηρεσία Vodafone TV
settings.serviceSettings;;Ρυθμίσεις υπηρεσίας
settings.showBackgroundProcess.hide;;Απόκρυψη
settings.showBackgroundProcess.show;;Εμφάνιση
settings.soundAndVideo;;Ήχος & Βίντεο
settings.subscriptionFiltering.allAppsHidden;;Όλες οι εφαρμογές είναι κρυμμένες
settings.subscriptionFiltering.appsHidden;;%1 Εφαρμογές κρυμμένες
settings.subscriptionFiltering.description;;Επιλέξτε ποιες εφαρμογές θα είναι διαθέσιμες για προβολή
settings.subscriptionFiltering.title;;Φίλτρο
settings.systemConfigurations.bluetooth.deviceList.title;;Διαθέσιμες συσκευές
settings.systemConfigurations.bluetooth.devicePairedList.title;;Συνδεδεμένες συσκευές
settings.systemConfigurations.developerMode;;Developer Mode
settings.systemConfigurations.epgStbCacheStatus;;'Ελεγχος οδηγού προγράμματος
settings.systemConfigurations.epgUiCacheStatus;;Έλεγχος EPG
settings.systemConfigurations.lastActiveStandby;;Τελευταίο Standby
settings.systemConfigurations.lastBoots;;Τελευταίες εκκινήσεις
settings.systemConfigurations.lastFullMaintenance;;Τελευταία πλήρης συντήρηση
settings.systemConfigurations.lastLoginDate;;Τελευταία σύνδεση
settings.systemConfigurations.lastMaintenance;;Τελευταία συντήρηση
settings.systemConfigurations.lastMaintenanceReboot;;Τελευταία επανεκκίνηση
settings.systemConfigurations.lastTechnicalDiagUpdate;;Τελευταία ενημέρωση τεχνικού διαγνωστικού ελέγχου
settings.systemConfigurations.maintenanceTimeoutEvents;;Maintenance timeout MW events
settings.systemConfigurations.mobilePairing;;Σύνδεση με τον αποκωδικοποιητή
settings.systemConfigurations.mobilePairing.concurrentPairingDenied;;Δεν μπορείτε να προσθέσετε περισσότερες από μία συσκευές ταυτόχρονα.
settings.systemConfigurations.mobilePairing.description;;Συνδέστε εύκολα το κινητό ή το tablet σας με τον λογαριασμό σας χωρίς να βάλετε username και password! Επιλέξτε προβολή QR στον αποκωδικοποιητή. Στην συνέχεια, ανοίξτε την TV εφαρμογή στο κινητό ή το tablet και επιλέξτε STB για είσοδο στον λογαριασμό. Στην επόμενη οθόνη της εφαρμογής επιλέξτε ανάγνωση κωδικού και στρέψτε την κάμερα της συσκευής στο κωδικό που έχει εμφανιστεί στην τηλεόραση μέχρι να λάβετε μήνυμα επιβεβαίωσης!
settings.systemConfigurations.mobilePairing.deviceList.title;;Διαθέσιμες συσκευές
settings.systemConfigurations.mobilePairing.failed;;Αποτυχία
settings.systemConfigurations.mobilePairing.failure;;Σφάλμα σύνδεσης
settings.systemConfigurations.mobilePairing.paired;;Συγχρονισμένο
settings.systemConfigurations.mobilePairing.pairingError;;Αποτυχία σύνδεσης
settings.systemConfigurations.mobilePairing.pairingFailed;;Αποτυχία σύνδεσης
settings.systemConfigurations.mobilePairing.pairingInProgress;;Σύνδεση σε εξέλιξη
settings.systemConfigurations.mobilePairing.pairingSuccessful;;Επιτυχής σύνδεση
settings.systemConfigurations.mobilePairing.pinEntryHelpMessage;;Ειγάγετε το PIN για επιβεβαίωση της συσκευής
settings.systemConfigurations.mobilePairing.qrCodeMode.description;;Σκανάρετε αυτό το QR με την TV εφαρμογή από το κινητό ή το tablet σας για σύνδεση.
settings.systemConfigurations.mobilePairing.qrCodeMode.subtitle;;Ανάγνωση QR
settings.systemConfigurations.mobilePairing.readyToPair;;Διαθέσιμο για σύνδεση
settings.systemConfigurations.mobilePairing.showQrCode;;Εμφάνιση QR Code
settings.systemConfigurations.mobilePairing.subtitle;;Σύνδεση συσκευής με τον αποκωδικοποιητή
settings.systemConfigurations.mobilePairing.title;;Σύνδεση με τον αποκωδικοποιητή
settings.systemConfigurations.networkAndPlayerLogs;;Συμβάντα δικτύου και αποκωδικοποιητή
settings.systemConfigurations.networkLogsTitle;;Συμβάντα δικτύου
settings.systemConfigurations.noMaintenanceDone;;Δεν έχει γίνει συντήρηση
settings.systemConfigurations.noMaintenanceTimeout;;No maintenance timeout
settings.systemConfigurations.playerLogsTitle;;Συμβάντα αποκωδικοποιητή
settings.systemConfigurations.refreshCacheStatus;;Ανανέωση κατάστασης κρυφής μνήμης
settings.systemConfigurations.selfDiagnostics;;Διαγνωστικός έλεγχος
settings.systemConfigurations.soundBox;;Φωνητική βοήθεια
settings.systemConfigurations.soundBox.description;;Μπορείτε να αποσυνδέσετε τη συσκευή από τον αποκωδικοποιητή, εάν δεν θέλετε πλέον να χρησιμοποιείτε τον επιπλέον φωνητικό έλεγχο.
settings.systemConfigurations.soundBox.deviceList.title;;Διαθέσιμες συσκευές
settings.systemConfigurations.soundBox.disconnectDevice;;Αποσύνδεση
settings.systemConfigurations.soundBox.hideAlexaCards;;Απόκρυψη καρτών Alexa
settings.systemConfigurations.soundBox.showAlexaCards;;Εμφάνιση καρτών Alexa
settings.systemConfigurations.soundBox.title;;Φωνητική βοήθεια
settings.systemConfigurations.soundbox.audioOutput;;Ηχητική έξοδος
settings.systemConfigurations.soundbox.audioOutput.checkOptical;;Βεβαιωθείτε ότι η οπτική πηγή έχει επιλεγεί στην εφαρμογή του κινητού.
settings.systemConfigurations.soundbox.audioOutput.off;;Κλειστό
settings.systemConfigurations.soundbox.audioOutput.off.selected;;Πιέστε ΟΚ για απενεργοποίηση.
settings.systemConfigurations.soundbox.audioOutput.spdifstb;;Αποκωδικοποιητής
settings.systemConfigurations.soundbox.audioOutput.spdifstb.selected;;Πατήστε OK για να συνδέσετε το Soundbox ως εξωτερική έξοδο για τον αποκωδικοποιητή.
settings.systemConfigurations.soundbox.audioOutput.spdiftv;;TV
settings.systemConfigurations.soundbox.audioOutput.spdiftv.selected;;Πατήστε OK για να συνδέσετε το Soundbox ως εξωτερική έξοδο για την τηλεόραση σας.
settings.systemConfigurations.soundbox.audioOutput.turnedOff;;Απνεργοποιημένο
settings.systemConfigurations.soundbox.audioOutput.turnedOn;;Ενεργοποιημένο
settings.systemConfigurations.status.downloading;;Λήψη...
settings.systemConfigurations.status.failed;;Απέτυχε
settings.systemConfigurations.status.finished;;Ολοκλήρωση
settings.systemConfigurations.status.ok;;ΟΚ
settings.systemConfigurations.status.ongoing;;Σε εξέλιξη ...
settings.systemConfigurations.subscriptionFiltering;;Φιλτράρισμα συνδρομών
settings.systemConfigurations.technicalDiagnostics;;Διαγνωστικός έλεγχος
settings.systemConfigurations.technicalDiagnostics.auth;;Πιστοποίηση
settings.systemConfigurations.technicalDiagnostics.authNrefresh;;AuthN token refresh
settings.systemConfigurations.technicalDiagnostics.checkUpdate;;Έλεγχος για ενημερώσεις
settings.systemConfigurations.technicalDiagnostics.epg;;Ενημέρωση ηλεκτρονικού προγράμματος
settings.systemConfigurations.technicalDiagnostics.licencesRefresh;;Ανανέωση αδειών
settings.systemConfigurations.technicalDiagnostics.localMaintenance;;Τοπική συντήρηση
settings.systemConfigurations.technicalDiagnostics.nagraCheckMaintenance;;Nagra check maintenance
settings.systemConfigurations.technicalDiagnostics.nagraSSPCheckMaintenance;;Nagra SSP check maintenance
settings.systemConfigurations.technicalDiagnostics.newMaintenance;;New maintenance mode
settings.systemConfigurations.technicalDiagnostics.no_save_home_mcast_stats;;Μη αποθήκευση MCast στατιστικών
settings.systemConfigurations.technicalDiagnostics.noscan;;Δεν απαιτείται σάρωση
settings.systemConfigurations.technicalDiagnostics.noupdate;;Δεν απαιτείται αναβάθμιση
settings.systemConfigurations.technicalDiagnostics.oldMaintenance;;Old maintenance mode
settings.systemConfigurations.technicalDiagnostics.restart;;Επανεκκίνηση αποκωδικοποιητή
settings.systemConfigurations.technicalDiagnostics.save_home_mcast_stats;;Αποθήκευση MCast στατιστικών
settings.systemConfigurations.technicalDiagnostics.scan;;Σάρωση
settings.systemConfigurations.technicalDiagnostics.scanStart;;Scan start
settings.systemConfigurations.technicalDiagnostics.sendTechnical;;Αποστολή τεχνικών δεδομένων
settings.systemConfigurations.technicalDiagnostics.subtitle;;Last maintenance flow
settings.systemConfigurations.technicalDiagnostics.update;;Ενημέρωση αποκωδικοποιητή
settings.systemConfigurations.technicalOverlay;;Technical Overlay
settings.technicalOverlay;;Technical Overlay
settings.technicalOverlay.disable;;Απενεργοποίηση
settings.technicalOverlay.enable;;Ενεργοποίηση
settings.tvBoxSettings;;Ρυθμίσεις αποκωδικοποιητή
settings.tvChannels.currentlyFound.cable;;Channels Found:<div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound.ftth;;Βρέθηκαν τα κανάλια:<div class='halfSummary'>IP<div class='channelsSummary'><div>%1TV</div><div>%2Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3TV</div></div></div>
settings.tvChannels.currentlyHave.cable;;settings.tvChannels.currentlyHave.cable
settings.tvChannels.currentlyHave.ftth;;Τρέχοντα κανάλια:<div class='halfSummary'>IP<div class='channelsSummary'><div>%1TV</div><div>%2Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3TV</div></div></div>
settings.tvChannels.showDttChannels;;Εμφάνιση επίγειων καναλιών
settings.tvChannels.weFound.cable;;settings.tvChannels.weFound.cable
settings.tvChannels.weFound.ftth;;Βρέθηκαν τα κανάλια:<div class='halfSummary'>IP<div class='channelsSummary'><div>%1TV</div><div>%2Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3TV</div></div></div>
settings.tvInput.auto;;Αυτόματο
settings.tvInput.auto.description;;Με αυτή την επιλογή το τηλεκοντρόλ του Vodafone TV θα ρυθμιστεί ώστε να μπορείτε να ελέγξετε τον ήχο στην τηλεόραση σας καθώς και να ανοίγει η τηλεόραση μαζί με τον αποκωδικοποιητή.
settings.tvInput.config.power;;Κατανάλωση
settings.tvInput.config.power.description;;Ενέργεια
settings.tvInput.config.volume;;Ένταση ήχου
settings.tvInput.config.volume.description;;Με αυτή την επιλογή θα ελέγχετε τον ήχο της τηλεόρασης σας με το τηλεχειριστήριο του Vodafone TV
settings.tvInput.deviceList;;Λίστα συσκευών
settings.tvInput.deviceList.availableDeviceList.description;;Θα μπορείτε να ελέγχετε οποιαδήποτε συσκευή υποστηρίζεται και συνδέεται μέσω HDMI χρησιμοποιώντας το τηλεχειριστήριο του Vodafone TV.
settings.tvInput.deviceList.availableDeviceList.title;;CEC λίστα συσκευών
